hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
NBP,2023-10-10,1,NoiseAgent,100824.0,100901.0,100862.0,77.0,0,0.0,
NBP,2023-10-10,2,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,3,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,4,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,5,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,6,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,7,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,8,NoiseAgent,101562.0,101572.0,101567.0,10.0,0,0.0,
NBP,2023-10-10,9,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,10,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,11,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,12,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,13,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,14,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,15,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,16,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,17,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,18,NoiseAgent,101699.0,101781.0,101740.0,82.0,0,0.0,
NBP,2023-10-10,19,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,20,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,21,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,22,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,23,NoiseAgent,96133.0,96471.0,96302.0,338.0,0,0.0,
NBP,2023-10-10,24,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,25,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,26,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,27,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,28,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,29,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,30,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,31,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,32,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,33,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,34,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,35,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,36,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,37,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,38,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,39,NoiseAgent,,,,,0,0.0,
NBP,2023-10-10,40,NoiseAgent,100011.0,100022.0,100016.0,11.0,0,0.0,
