hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
TTF,2023-01-20,1,NoiseAgent,100824.0,100901.0,100862.0,77.0,0,0.0,
TTF,2023-01-20,2,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,3,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,4,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,5,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,6,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,7,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,8,NoiseAgent,101562.0,101572.0,101567.0,10.0,0,0.0,
TTF,2023-01-20,9,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,10,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,11,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,12,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,13,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,14,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,15,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,16,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,17,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,18,NoiseAgent,101699.0,101781.0,101740.0,82.0,0,0.0,
TTF,2023-01-20,19,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,20,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,21,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,22,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,23,NoiseAgent,96133.0,96471.0,96302.0,338.0,0,0.0,
TTF,2023-01-20,24,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,25,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,26,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,27,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,28,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,29,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,30,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,31,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,32,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,33,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,34,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,35,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,36,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,37,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,38,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,39,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,40,NoiseAgent,100011.0,100022.0,100016.0,11.0,0,0.0,
TTF,2023-01-20,41,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,42,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,43,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,44,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,45,NoiseAgent,99555.0,99568.0,99562.0,13.0,0,0.0,
TTF,2023-01-20,46,NoiseAgent,99655.0,99679.0,99667.0,24.0,0,0.0,
TTF,2023-01-20,47,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,48,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,49,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,50,NoiseAgent,96700.0,96702.0,96701.0,2.0,0,0.0,
TTF,2023-01-20,51,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,52,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,53,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,54,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,55,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,56,NoiseAgent,,,,,0,0.0,
TTF,2023-01-20,57,NoiseAgent,,,,,0,0.0,
