hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
TTF,2026-01-01,1,NoiseAgent,282509.0,282586.0,282548.0,77.0,0,0.0,
TTF,2026-01-01,2,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,3,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,4,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,5,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,6,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,7,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,8,NoiseAgent,286519.0,286535.0,286527.0,16.0,0,0.0,
TTF,2026-01-01,9,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,10,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,11,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,12,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,13,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,14,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,15,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,16,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,17,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,18,NoiseAgent,285441.0,285445.0,285443.0,4.0,0,0.0,
TTF,2026-01-01,19,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,20,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,21,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,22,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,23,NoiseAgent,284550.0,284552.0,284551.0,2.0,0,0.0,
TTF,2026-01-01,24,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,25,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,26,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,27,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,28,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,29,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,30,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,31,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,32,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,33,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,34,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,35,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,36,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,37,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,38,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,39,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,40,NoiseAgent,289436.0,289439.0,289438.0,3.0,0,0.0,
TTF,2026-01-01,41,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,42,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,43,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,44,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,45,NoiseAgent,280857.0,280870.0,280864.0,13.0,0,0.0,
TTF,2026-01-01,46,NoiseAgent,280825.0,280841.0,280833.0,16.0,0,0.0,
TTF,2026-01-01,47,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,48,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,49,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,50,NoiseAgent,284429.0,284432.0,284430.0,3.0,0,0.0,
TTF,2026-01-01,51,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,52,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,53,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,54,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,55,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,56,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,57,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,58,NoiseAgent,287231.0,287234.0,287232.0,3.0,0,0.0,
TTF,2026-01-01,59,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,60,NoiseAgent,,,,,0,0.0,
TTF,2026-01-01,61,NoiseAgent,,,,,0,0.0,
