hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
TTF,2026-02-16,1,NoiseAgent,325854.0,325931.0,325892.0,77.0,0,0.0,
TTF,2026-02-16,2,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,3,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,4,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,5,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,6,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,7,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,8,NoiseAgent,327811.0,327812.0,327812.0,1.0,0,0.0,
TTF,2026-02-16,9,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,10,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,11,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,12,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,13,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,14,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,15,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,16,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,17,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,18,NoiseAgent,327908.0,328287.0,328098.0,379.0,0,0.0,
TTF,2026-02-16,19,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,20,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,21,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,22,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,23,NoiseAgent,326048.0,326072.0,326060.0,24.0,0,0.0,
TTF,2026-02-16,24,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,25,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,26,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,27,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,28,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,29,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,30,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,31,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,32,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,33,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,34,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,35,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,36,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,37,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,38,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,39,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,40,NoiseAgent,328284.0,328326.0,328305.0,42.0,0,0.0,
TTF,2026-02-16,41,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,42,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,43,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,44,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,45,NoiseAgent,324426.0,324439.0,324432.0,13.0,0,0.0,
TTF,2026-02-16,46,NoiseAgent,324376.0,324392.0,324384.0,16.0,0,0.0,
TTF,2026-02-16,47,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,48,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,49,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,50,NoiseAgent,324733.0,324760.0,324746.0,27.0,0,0.0,
TTF,2026-02-16,51,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,52,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,53,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,54,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,55,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,56,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,57,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,58,NoiseAgent,329895.0,329987.0,329941.0,92.0,0,0.0,
TTF,2026-02-16,59,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,60,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,61,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,62,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,63,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,64,NoiseAgent,324294.0,324314.0,324304.0,20.0,0,0.0,
TTF,2026-02-16,65,NoiseAgent,327743.0,327748.0,327746.0,5.0,0,0.0,
TTF,2026-02-16,66,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,67,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,68,NoiseAgent,327718.0,327728.0,327723.0,10.0,0,0.0,
TTF,2026-02-16,69,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,70,NoiseAgent,324611.0,324620.0,324616.0,9.0,0,0.0,
TTF,2026-02-16,71,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,72,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,73,NoiseAgent,326021.0,326067.0,326044.0,46.0,0,0.0,
TTF,2026-02-16,74,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,75,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,76,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,77,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,78,NoiseAgent,324609.0,324623.0,324616.0,14.0,0,0.0,
TTF,2026-02-16,79,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,80,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,81,NoiseAgent,324294.0,324314.0,324304.0,20.0,0,0.0,
TTF,2026-02-16,82,NoiseAgent,324599.0,324628.0,324614.0,29.0,0,0.0,
TTF,2026-02-16,83,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,84,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,85,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,86,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,87,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,88,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,89,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,90,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,91,NoiseAgent,323871.0,323873.0,323872.0,2.0,0,0.0,
TTF,2026-02-16,92,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,93,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,94,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,95,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,96,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,97,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,98,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,99,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,100,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,101,NoiseAgent,324590.0,324591.0,324590.0,1.0,0,0.0,
TTF,2026-02-16,102,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,103,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,104,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,105,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,106,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,107,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,108,NoiseAgent,328907.0,328908.0,328908.0,1.0,0,0.0,
TTF,2026-02-16,109,NoiseAgent,,,,,0,0.0,
TTF,2026-02-16,110,NoiseAgent,,,,,0,0.0,
