hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
NBP,2022-12-02,1,NoiseAgent,100824.0,100901.0,100862.0,77.0,0,0.0,
NBP,2022-12-02,2,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,3,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,4,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,5,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,6,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,7,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,8,NoiseAgent,101562.0,101572.0,101567.0,10.0,0,0.0,
NBP,2022-12-02,9,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,10,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,11,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,12,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,13,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,14,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,15,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,16,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,17,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,18,NoiseAgent,101699.0,101781.0,101740.0,82.0,0,0.0,
NBP,2022-12-02,19,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,20,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,21,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,22,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,23,NoiseAgent,96133.0,96471.0,96302.0,338.0,0,0.0,
NBP,2022-12-02,24,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,25,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,26,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,27,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,28,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,29,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,30,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,31,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,32,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,33,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,34,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,35,NoiseAgent,,,,,0,0.0,
NBP,2022-12-02,36,NoiseAgent,,,,,0,0.0,
