hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
NBP,2026-01-23,1,NoiseAgent,387667.0,387740.0,387704.0,73.0,0,0.0,
NBP,2026-01-23,2,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,3,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,4,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,5,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,6,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,7,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,8,NoiseAgent,391872.0,391877.0,391874.0,5.0,0,0.0,
NBP,2026-01-23,9,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,10,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,11,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,12,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,13,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,14,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,15,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,16,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,17,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,18,NoiseAgent,392019.0,392108.0,392064.0,89.0,0,0.0,
NBP,2026-01-23,19,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,20,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,21,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,22,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,23,NoiseAgent,386753.0,386754.0,386754.0,1.0,0,0.0,
NBP,2026-01-23,24,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,25,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,26,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,27,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,28,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,29,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,30,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,31,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,32,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,33,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,34,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,35,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,36,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,37,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,38,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,39,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,40,NoiseAgent,388574.0,388597.0,388586.0,23.0,0,0.0,
NBP,2026-01-23,41,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,42,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,43,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,44,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,45,NoiseAgent,387254.0,387267.0,387260.0,13.0,0,0.0,
NBP,2026-01-23,46,NoiseAgent,387222.0,387238.0,387230.0,16.0,0,0.0,
NBP,2026-01-23,47,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,48,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,49,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,50,NoiseAgent,386764.0,386765.0,386764.0,1.0,0,0.0,
NBP,2026-01-23,51,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,52,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,53,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,54,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,55,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,56,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,57,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,58,NoiseAgent,388320.0,388336.0,388328.0,16.0,0,0.0,
NBP,2026-01-23,59,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,60,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,61,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,62,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,63,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,64,NoiseAgent,387031.0,387037.0,387034.0,6.0,0,0.0,
NBP,2026-01-23,65,NoiseAgent,391905.0,391914.0,391910.0,9.0,0,0.0,
NBP,2026-01-23,66,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,67,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,68,NoiseAgent,391905.0,391921.0,391913.0,16.0,0,0.0,
NBP,2026-01-23,69,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,70,NoiseAgent,387439.0,387448.0,387444.0,9.0,0,0.0,
NBP,2026-01-23,71,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,72,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,73,NoiseAgent,386613.0,386624.0,386618.0,11.0,0,0.0,
NBP,2026-01-23,74,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,75,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,76,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,77,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,78,NoiseAgent,386763.0,386764.0,386764.0,1.0,0,0.0,
NBP,2026-01-23,79,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,80,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,81,NoiseAgent,387031.0,387098.0,387064.0,67.0,0,0.0,
NBP,2026-01-23,82,NoiseAgent,388336.0,388340.0,388338.0,4.0,0,0.0,
NBP,2026-01-23,83,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,84,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,85,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,86,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,87,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,88,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,89,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,90,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,91,NoiseAgent,386699.0,386701.0,386700.0,2.0,0,0.0,
NBP,2026-01-23,92,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,93,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,94,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,95,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,96,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,97,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,98,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,99,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,100,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,101,NoiseAgent,387383.0,387397.0,387390.0,14.0,0,0.0,
NBP,2026-01-23,102,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,103,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,104,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,105,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,106,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,107,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,108,NoiseAgent,390929.0,390932.0,390930.0,3.0,0,0.0,
NBP,2026-01-23,109,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,110,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,111,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,112,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,113,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,114,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,115,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,116,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,117,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,118,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,119,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,120,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,121,NoiseAgent,386607.0,386608.0,386608.0,1.0,0,0.0,
NBP,2026-01-23,122,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,123,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,124,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,125,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,126,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,127,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,128,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,129,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,130,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,131,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,132,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,133,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,134,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,135,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,136,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,137,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,138,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,139,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,140,NoiseAgent,387520.0,387664.0,387592.0,144.0,0,0.0,
NBP,2026-01-23,141,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,142,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,143,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,144,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,145,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,146,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,147,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,148,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,149,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,150,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,151,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,152,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,153,NoiseAgent,391821.0,391849.0,391835.0,28.0,0,0.0,
NBP,2026-01-23,154,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,155,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,156,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,157,NoiseAgent,386767.0,386768.0,386768.0,1.0,0,0.0,
NBP,2026-01-23,158,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,159,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,160,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,161,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,162,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,163,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,164,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,165,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,166,NoiseAgent,,,,,0,0.0,
NBP,2026-01-23,167,NoiseAgent,,,,,0,0.0,
