hub,date,agent_id,agent_type,best_bid,best_ask,mid,spread,n_fills,transacted_volume,avg_tx_price
TTF,2026-01-10,1,NoiseAgent,288439.0,288516.0,288478.0,77.0,0,0.0,
TTF,2026-01-10,2,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,3,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,4,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,5,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,6,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,7,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,8,NoiseAgent,292450.0,292466.0,292458.0,16.0,0,0.0,
TTF,2026-01-10,9,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,10,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,11,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,12,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,13,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,14,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,15,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,16,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,17,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,18,NoiseAgent,291372.0,291376.0,291374.0,4.0,0,0.0,
TTF,2026-01-10,19,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,20,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,21,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,22,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,23,NoiseAgent,290481.0,290483.0,290482.0,2.0,0,0.0,
TTF,2026-01-10,24,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,25,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,26,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,27,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,28,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,29,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,30,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,31,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,32,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,33,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,34,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,35,NoiseAgent,,,,,0,0.0,
TTF,2026-01-10,36,NoiseAgent,,,,,0,0.0,
