date,open,high,low,close,adj_close,volume,hub,ticker,source
2020-11-02,13.515000343322754,13.704999923706055,13.515000343322754,13.654999732971191,13.654999732971191,105,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-03,13.729999542236328,13.925000190734863,13.585000038146973,13.664999961853027,13.664999961853027,127,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-04,13.725000381469727,14.104999542236328,13.574999809265137,13.885000228881836,13.885000228881836,355,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-05,14.300000190734863,14.5,14.300000190734863,14.454999923706055,14.454999923706055,465,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-06,14.114999771118164,14.149999618530273,13.885000228881836,13.899999618530273,13.899999618530273,781,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-09,13.774999618530273,14.130000114440918,13.550000190734863,13.854999542236328,13.854999542236328,545,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-10,13.800000190734863,14.149999618530273,13.699999809265137,14.03499984741211,14.03499984741211,910,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-11,14.050000190734863,14.350000381469727,14.050000190734863,14.095000267028809,14.095000267028809,285,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-12,14.050000190734863,14.149999618530273,13.949999809265137,14.0,14.0,294,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-13,14.199999809265137,14.324999809265137,14.175000190734863,14.239999771118164,14.239999771118164,280,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-16,14.425000190734863,14.600000381469727,14.420000076293945,14.494999885559082,14.494999885559082,287,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-17,14.350000381469727,14.350000381469727,13.850000381469727,13.970000267028809,13.970000267028809,160,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-18,13.850000381469727,13.949999809265137,13.59000015258789,13.680000305175781,13.680000305175781,215,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-19,13.475000381469727,13.475000381469727,13.0,13.020000457763672,13.020000457763672,335,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-20,12.699999809265137,12.90999984741211,12.600000381469727,12.895000457763672,12.895000457763672,405,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-23,13.300000190734863,13.625,13.300000190734863,13.53499984741211,13.53499984741211,131,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-24,13.449999809265137,13.899999618530273,13.449999809265137,13.899999618530273,13.899999618530273,300,TTF,TTF=F,Yahoo Finance (via yfinance)
2020-11-25,14.149999618530273,14.274999618530273,13.800000190734863,13.930000305175781,13.930000305175781,347,TTF,TTF=F,Yahoo Finance (via yfinance)
