test_hub,algo,round,rmse_ret,mae_ret,rmse_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price
FIN,fedavg,1,0.15079739689826965,0.10325586050748825,9.309161947713443,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,2,0.13892437517642975,0.0839795246720314,8.629677618400114,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,3,0.13303346931934357,0.07800593972206116,8.340655089703635,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,4,0.12842968106269836,0.07273771613836288,8.094639843277559,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,5,0.12513434886932373,0.06908192485570908,7.902992252995794,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,6,0.12266506254673004,0.0670071616768837,7.757896125625032,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,7,0.12091247737407684,0.06589346379041672,7.650298693908828,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,8,0.11984004825353622,0.06506970524787903,7.600609735144427,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,9,0.11907922476530075,0.0645650178194046,7.548606928666283,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,10,0.11820527911186218,0.06351645290851593,7.508780188198296,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,11,0.11758808046579361,0.06291873753070831,7.465123465485295,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,12,0.11727047711610794,0.06266975402832031,7.446811027215039,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,13,0.11697448790073395,0.062116533517837524,7.433833383532429,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,14,0.11657662689685822,0.061515048146247864,7.4149020732016915,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,15,0.11674202978610992,0.061883654445409775,7.420053258696188,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,16,0.11641127616167068,0.061464324593544006,7.401512234364202,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,17,0.11629888415336609,0.06125260144472122,7.399093650399204,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,18,0.11622186750173569,0.06151730194687843,7.38114148028968,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,19,0.11625158786773682,0.06119326502084732,7.38970530651403,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,20,0.11657647043466568,0.061754271388053894,7.409027398026248,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,21,0.11634703725576401,0.06179862841963768,7.3847951208733305,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,22,0.11610151827335358,0.06110088899731636,7.380402192519134,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,23,0.11612004786729813,0.06108715757727623,7.386564892058514,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,24,0.11600297689437866,0.06092255935072899,7.379481054002688,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,25,0.11626111716032028,0.06145912781357765,7.387251239688599,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,26,0.11608928442001343,0.06126115471124649,7.382205571327127,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,27,0.1158740371465683,0.06071997061371803,7.372309593501284,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,28,0.11580058932304382,0.06075021252036095,7.36454609717114,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,29,0.1160188540816307,0.061128802597522736,7.377233609716976,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,30,0.11591478437185287,0.06099835783243179,7.3654473488519505,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,31,0.1159793958067894,0.06079360842704773,7.384623807125394,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,32,0.11607453227043152,0.061270833015441895,7.381465969284623,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,33,0.11590246111154556,0.06080533564090729,7.374190459651203,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,34,0.11589287966489792,0.06099223345518112,7.368144191041622,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,35,0.11576541513204575,0.06079608574509621,7.372145562360828,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,36,0.11572986841201782,0.06089099496603012,7.362464283107186,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,37,0.11585845053195953,0.06095610558986664,7.368352141940824,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,38,0.11592166125774384,0.06096542626619339,7.377800599525723,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,39,0.11571251600980759,0.06076188012957573,7.357467942822509,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,40,0.11598166078329086,0.06127120554447174,7.365415173133273,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,41,0.11605282127857208,0.06132785230875015,7.37795375479802,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,42,0.11618681997060776,0.06156967580318451,7.3780604785151525,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,43,0.1159835010766983,0.0610341913998127,7.377427814238013,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,44,0.11600647121667862,0.06135379895567894,7.372146021426019,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,45,0.11578068137168884,0.061012133955955505,7.356374677690924,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,46,0.11615858227014542,0.061626069247722626,7.374459369083916,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
FIN,fedavg,47,0.11601429432630539,0.06127654388546944,7.37981749632696,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
