test_hub,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows
TTF,zeno,zeno,0,1,5,3,0.001,,0.11354754543215619,0.0955486405913134,3.7622854161426025,3.1487909681574773,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,2,5,3,0.001,,0.09621713459654321,0.0770628714857039,3.3776772781824542,2.599981208415354,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,3,5,3,0.001,,0.08208865635812297,0.06232807184352492,2.896890754762524,2.1153020671798006,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,4,5,3,0.001,,0.07174379772093074,0.05207558032381743,2.562043563177762,1.78894781023668,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,5,5,3,0.001,,0.06221752609799911,0.044115232107411056,2.209993089109446,1.523536209623692,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,6,5,3,0.001,,0.05683934397107296,0.038209012055461754,2.0321322604176615,1.334707818603111,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,7,5,3,0.001,,0.05282013322597848,0.035589533661673695,1.8865197637606967,1.2411575979317642,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,8,5,3,0.001,,0.05006740803156379,0.03444666917518697,1.7957620029665384,1.2015338725407243,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,9,5,3,0.001,,0.04733197635908205,0.033339603259464945,1.6960667988042009,1.1608016585495509,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,10,5,3,0.001,,0.04535481734405704,0.032580125934870564,1.6229653287323114,1.1329056745575643,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,11,5,3,0.001,,0.04368821011227971,0.03214798078051437,1.5629291481329055,1.1173226983122901,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,12,5,3,0.001,,0.0419703066816544,0.031242015057290764,1.496857437341273,1.0832095733982017,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,13,5,3,0.001,,0.03999007080554327,0.03019013102324206,1.4161252899074288,1.0422657350271431,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,14,5,3,0.001,,0.0388873813665497,0.02967142138898499,1.3727995223066871,1.0236171036726334,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,15,5,3,0.001,,0.0381033191262548,0.029362833036614928,1.3444499923663438,1.0133959900342808,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,16,5,3,0.001,,0.036838053353886034,0.028266594425569905,1.2882274019916924,0.9710565721291602,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,17,5,3,0.001,,0.036201910816802914,0.027856816770508885,1.2623926804668828,0.9555460610995856,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,18,5,3,0.001,,0.036246175245244705,0.028036762735317067,1.2680954246801526,0.963771482338339,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,19,5,3,0.001,,0.03545361091366079,0.02762310058115271,1.2328867637903176,0.9459602396690232,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,20,5,3,0.001,,0.03552417894611179,0.02755461578746721,1.2343004007697282,0.9431254870467263,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,21,5,3,0.001,,0.035135780899308286,0.027279194468095645,1.2156680923813015,0.9310344159734447,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,22,5,3,0.001,,0.03493399263979429,0.026979643654204525,1.2047247312013694,0.9188530632722174,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,23,5,3,0.001,,0.035123186648080104,0.027089900281911685,1.2124715469498453,0.923226211877192,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,24,5,3,0.001,,0.03531983612456093,0.027152853687412215,1.219113090536406,0.925602195404343,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,25,5,3,0.001,,0.035107870712016716,0.02672736285948905,1.2084883135681108,0.9090382420824743,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,26,5,3,0.001,,0.03515934431532597,0.026619920176572276,1.209272560863139,0.9046516823212974,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,27,5,3,0.001,,0.035361923661391,0.026780274666064436,1.2179757789340029,0.9114324913762385,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,28,5,3,0.001,,0.03552144489169779,0.026875903490551953,1.22496377218515,0.9152454251061048,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,29,5,3,0.001,,0.03545394950114967,0.026665970754130918,1.2205682979574222,0.9069276497212501,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
TTF,zeno,zeno,0,30,5,3,0.001,,0.03530979445551879,0.026502577202213076,1.214318305252664,0.9005517527592378,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59
