round,test_rmse
1,2.5528104305267334
2,2.214649200439453
3,2.0547780990600586
4,1.9639167785644531
5,1.9056347608566284
6,1.8653451204299927
7,1.836021900177002
8,1.8137778043746948
9,1.7962716817855835
10,1.7820194959640503
11,1.7700480222702026
12,1.759708285331726
13,1.7505615949630737
14,1.7423039674758911
15,1.734726071357727
16,1.7276813983917236
17,1.7210657596588135
18,1.7148041725158691
19,1.7088439464569092
20,1.7031464576721191
21,1.6976808309555054
22,1.6924272775650024
23,1.6873674392700195
24,1.6824876070022583
25,1.6777784824371338
26,1.6732280254364014
27,1.668830156326294
28,1.6645785570144653
29,1.6604654788970947
30,1.656487226486206
31,1.6526362895965576
32,1.6489089727401733
33,1.6453020572662354
34,1.6418083906173706
35,1.638426423072815
36,1.6351500749588013
37,1.631977915763855
38,1.6289037466049194
39,1.6259269714355469
40,1.6230413913726807
41,1.6202452182769775
42,1.617536187171936
43,1.6149102449417114
44,1.612364411354065
45,1.6098963022232056
46,1.607502818107605
47,1.6051814556121826
48,1.6029313802719116
49,1.6007483005523682
50,1.5986307859420776
51,1.5965758562088013
52,1.594582438468933
53,1.5926467180252075
54,1.5907686948776245
55,1.5889462232589722
56,1.5871760845184326
57,1.585457444190979
58,1.5837879180908203
59,1.5821675062179565
60,1.5805928707122803
61,1.5790640115737915
62,1.5775783061981201
63,1.5761337280273438
64,1.5747312307357788
65,1.5733669996261597
66,1.5720409154891968
67,1.5707520246505737
68,1.5694985389709473
69,1.5682804584503174
70,1.567095160484314
71,1.5659418106079102
72,1.5648205280303955
73,1.5637285709381104
74,1.562666893005371
75,1.5616337060928345
76,1.5606273412704468
77,1.5596479177474976
78,1.5586949586868286
79,1.5577669143676758
80,1.556862711906433
81,1.555983304977417
82,1.5551255941390991
83,1.554290533065796
84,1.5534765720367432
85,1.5526840686798096
86,1.55191171169281
87,1.5511585474014282
88,1.5504251718521118
89,1.5497100353240967
90,1.5490132570266724
91,1.5483328104019165
92,1.5476704835891724
93,1.5470240116119385
94,1.5463926792144775
95,1.545778512954712
96,1.5451782941818237
97,1.5445935726165771
98,1.544021725654602
99,1.5434657335281372
100,1.542921781539917
101,1.5423915386199951
102,1.5418736934661865
103,1.5413676500320435
104,1.5408744812011719
105,1.540392279624939
106,1.5399224758148193
107,1.5394631624221802
108,1.539014220237732
109,1.5385764837265015
110,1.5381487607955933
111,1.5377305746078491
112,1.5373222827911377
113,1.5369232892990112
114,1.5365335941314697
115,1.536152720451355
116,1.535781741142273
117,1.5354173183441162
118,1.5350617170333862
119,1.5347139835357666
120,1.5343745946884155
121,1.5340427160263062
122,1.5337189435958862
123,1.5334014892578125
124,1.533091425895691
125,1.5327880382537842
126,1.5324915647506714
127,1.5322011709213257
128,1.531917929649353
129,1.5316401720046997
130,1.5313692092895508
131,1.5311039686203003
132,1.53084397315979
133,1.5305899381637573
134,1.5303418636322021
135,1.5300986766815186
136,1.5298608541488647
137,1.5296287536621094
138,1.5294008255004883
139,1.5291780233383179
140,1.5289597511291504
141,1.5287467241287231
142,1.528537392616272
143,1.5283328294754028
144,1.5281323194503784
145,1.5279368162155151
146,1.5277456045150757
147,1.5275578498840332
148,1.5273735523223877
149,1.527193546295166
150,1.527017593383789
151,1.5268449783325195
152,1.5266761779785156
153,1.5265105962753296
154,1.52634859085083
155,1.5261905193328857
156,1.5260350704193115
157,1.5258824825286865
158,1.5257340669631958
159,1.525587797164917
160,1.525444746017456
161,1.5253045558929443
162,1.5251678228378296
163,1.5250329971313477
164,1.5249011516571045
165,1.5247730016708374
166,1.5246466398239136
167,1.5245224237442017
168,1.5244019031524658
169,1.524282455444336
170,1.5241658687591553
171,1.5240520238876343
172,1.5239399671554565
173,1.5238302946090698
174,1.5237234830856323
175,1.523618459701538
176,1.523515224456787
177,1.5234136581420898
178,1.5233145952224731
179,1.5232182741165161
180,1.5231231451034546
181,1.523029088973999
182,1.522937536239624
183,1.5228486061096191
184,1.5227607488632202
185,1.5226749181747437
186,1.5225905179977417
187,1.522507667541504
188,1.5224264860153198
189,1.5223474502563477
190,1.5222691297531128
191,1.5221925973892212
192,1.5221179723739624
193,1.5220446586608887
194,1.5219718217849731
195,1.5219017267227173
196,1.5218327045440674
197,1.521765112876892
198,1.521697998046875
199,1.5216326713562012
200,1.5215686559677124
