test_hub,algo,rmse_ret_mean,mae_ret_mean,rmse_price_implied_mean,baseline_rmse_ret_mean,baseline_mae_ret_mean,baseline_rmse_price_mean,baseline_mae_price_mean,delta_rmse_ret_mean,ratio_rmse_ret_mean,rmse_ret_std,mae_ret_std,rmse_price_implied_std,baseline_rmse_ret_std,baseline_mae_ret_std,baseline_rmse_price_std,baseline_mae_price_std,delta_rmse_ret_std,ratio_rmse_ret_std,n_seeds
NBP,fedavg,0.06520718378474671,0.04352868134525885,1.906642315661843,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470013,-0.0001916959711781574,0.9970688187336911,1.7625867807121947e-05,2.8940787016678387e-05,0.0005296835880603261,0.0,0.0,0.0,0.0,1.762586780712567e-05,0.0002695132985902217,5
NBP,fednova,0.06520648068464485,0.04353244302504085,1.9066739773709784,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470013,-0.00019239907128002499,0.9970580677834532,1.6698143657249553e-05,3.396177079714098e-05,0.0005780484536709135,0.0,0.0,0.0,0.0,1.6698143657255127e-05,0.00025532767104839943,5
NBP,fedprox,0.06522174809760838,0.04356338253902408,1.9065619297566072,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470013,-0.00017713165831649002,0.9972915184636563,8.683342564529086e-06,1.0357738317064146e-05,0.0010237215663965401,0.0,0.0,0.0,0.0,8.683342564532711e-06,0.00013277509640749135,5
NBP,scaffold,0.06560180034913594,0.04396538351227165,1.9086505359310961,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470013,0.00020292059321107004,1.003102814512548,0.00018344896318856334,0.0001757949626208428,0.0006767057057143868,0.0,0.0,0.0,0.0,0.00018344896318856215,0.00280507806667659,5
NBP,zeno,0.0652013369944828,0.04353580583994189,1.9065624473259057,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470013,-0.00019754276144206274,0.9969794167395631,1.8720616018237028e-05,4.665294090558358e-05,0.0004344040830212159,0.0,0.0,0.0,0.0,1.8720616018238648e-05,0.0002862528546070646,5
TTF,fedavg,0.05554583657374353,0.03813480586601833,5.968123973014079,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,-0.0001192075503447021,0.9978584845800362,4.277690639235322e-05,8.116787812276385e-05,0.0015737210153693544,0.0,0.0,0.0,0.0,4.277690639235358e-05,0.0007684698191740885,5
TTF,fednova,0.05554583643871267,0.03813480568785492,5.968123972409321,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,-0.00011920768537557053,0.9978584821542613,4.277698247863842e-05,8.116793182771051e-05,0.0015737210280379586,0.0,0.0,0.0,0.0,4.2776982478638144e-05,0.0007684711860333972,5
TTF,fedprox,0.05553237153353937,0.03812177796885615,5.969159369153602,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,-0.00013267259054886848,0.9976165905796623,4.019576168761455e-05,7.217656848774216e-05,0.0013239519985155602,0.0,0.0,0.0,0.0,4.0195761687613255e-05,0.0007221005986810867,5
TTF,scaffold,0.055989551495516834,0.03852740091703351,5.973222808644907,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,0.0003245073714285937,1.0058296436576104,0.00023109303396445736,0.00021432353039289889,0.0022222674863823714,0.0,0.0,0.0,0.0,0.0002310930339644556,0.004151492873144987,5
TTF,zeno,0.05552162427836269,0.03808971567385506,5.968890806953274,0.05566504412408824,0.03826777977234286,5.968125940902365,2.7245431299959675,-0.00014341984572553977,0.9974235204879056,1.8959558146345103e-05,4.1823196252997776e-05,0.0018932042048513307,0.0,0.0,0.0,0.0,1.8959558146346787e-05,0.0003406007925562954,5
