test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac,canary_round_eval
8601442705,FIN,1,0,fedavg,fedavg,0,1,5,3,0.001,,0.17518887674344563,0.14655650459111524,10.886812203293927,8.41991715043372,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,0.41544973850250244,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,0,2,5,3,0.001,,0.14668389456124944,0.11190459351225933,9.08591419122351,6.284775483332832,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,3,5,3,0.001,,0.1340754671081728,0.0928504524239668,8.365401472528758,5.171863260687426,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,4,5,3,0.001,,0.12847163224511932,0.08459992108491234,8.05136552448626,4.738268504729558,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,5,5,3,0.001,,0.12250962741344931,0.0757716087336403,7.723232997034449,4.272606052847772,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,0.42593157291412354,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,0,6,5,3,0.001,,0.11904553144416326,0.07007795108877653,7.502457937600347,3.9680915725878596,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,7,5,3,0.001,,0.11652994694958119,0.06608666036155572,7.334168518742122,3.7349336065115604,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,8,5,3,0.001,,0.11529476662091986,0.06427886624216375,7.263622464949416,3.6304211275968057,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,9,5,3,0.001,,0.11466774223026735,0.06310431933550341,7.246644324718968,3.574535082714311,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,10,5,3,0.001,,0.11436095621354533,0.062176247735022054,7.247321168400726,3.5302084261929165,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,0.43631336092948914,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,0,11,5,3,0.001,,0.11420804824057727,0.06173687462708993,7.249670625388909,3.5074155671935654,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,12,5,3,0.001,,0.11423818783910122,0.06173007995450211,7.257346311568191,3.508170067843692,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,13,5,3,0.001,,0.11454114358751073,0.06216083821019656,7.273336178271548,3.531788888201632,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,14,5,3,0.001,,0.11445064419562101,0.06187310481618624,7.266561159573241,3.5133675478357693,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,15,5,3,0.001,,0.11482909649841772,0.0622897544220403,7.301106135107756,3.5436972271522573,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,16,5,3,0.001,,0.11466493777010904,0.06186448892624647,7.285636943235444,3.514408086755152,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,17,5,3,0.001,,0.11504713926638799,0.06242957355902161,7.3116502737685,3.5491904768142213,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,18,5,3,0.001,,0.11472948040037796,0.061816271096929616,7.285780490947322,3.5078369011920083,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,19,5,3,0.001,,0.1150666448224001,0.06227438554422657,7.3159626976418,3.5398348475232204,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,20,5,3,0.001,,0.11497827387659261,0.06213203809125718,7.306396253154713,3.528662306611909,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,0.41958311200141907,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,0,21,5,3,0.001,,0.11514136589246489,0.06235062425247602,7.31645620064766,3.54189102782566,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,22,5,3,0.001,,0.11523874001522273,0.06246283564843029,7.31947817345243,3.546208958341129,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,23,5,3,0.001,,0.11522315236995469,0.062448914110126645,7.31977417107071,3.54568807616316,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,24,5,3,0.001,,0.11525353686180621,0.06258417182182492,7.318425509968643,3.551618824987576,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,25,5,3,0.001,,0.11531974104510302,0.06257491177780923,7.328605310903328,3.554055735640485,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,26,5,3,0.001,,0.11528156676181484,0.0625609502889786,7.326253516174059,3.5534081279779297,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,27,5,3,0.001,,0.11554811921093089,0.0630065519156954,7.340533123385761,3.579527240223926,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,28,5,3,0.001,,0.11523676078865829,0.06217587409603233,7.320384590398286,3.5293826449616206,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
8601442705,FIN,1,0,fedavg,fedavg,0,29,5,3,0.001,,0.1153113100624508,0.06226184673091509,7.331500618847215,3.5379071969174105,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.1,11,LTU,,0.2,0
