test_hub,algo,rmse_ret_mean,mae_ret_mean,rmse_price_implied_mean,baseline_rmse_ret_mean,baseline_mae_ret_mean,baseline_rmse_price_mean,baseline_mae_price_mean,delta_rmse_ret_mean,ratio_rmse_ret_mean,rmse_ret_std,mae_ret_std,rmse_price_implied_std,baseline_rmse_ret_std,baseline_mae_ret_std,baseline_rmse_price_std,baseline_mae_price_std,delta_rmse_ret_std,ratio_rmse_ret_std
FIN,fedavg,0.11231849193572999,0.0605367012321949,7.129929031981433,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-0.001969303545795531,0.9827689077604628,0.0023422592740764353,0.0006535587897072297,0.1578756618709447,0.0,0.0,0.0,0.0,0.002342259274076434,0.02049439543573187
FIN,fedprox,0.11332287788391113,0.060613974928855896,7.195036557749555,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-0.0009649175976143787,0.9915571247695443,0.0007343975670450482,0.0008974631469748933,0.04423577651019709,0.0,0.0,0.0,0.0,0.0007343975670450476,0.00642586169372532
LTU,fedavg,0.027144832909107207,0.021919024363160133,1.242200532534548,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.0024760263841836585,0.9164093668023845,0.0007404958986597654,0.0006874348984287964,0.04272276533178622,0.0,0.0,0.0,0.0,0.0007404958986597652,0.024999136295397347
LTU,fedprox,0.027500729635357858,0.022416112944483757,1.260768636419773,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.00212012965793301,0.9284244377605473,0.0004268277042457741,0.0007452364264266551,0.024252897571113798,0.0,0.0,0.0,0.0,0.0004268277042457744,0.0144097002730252
LVA-EST,fedavg,0.026575691998004913,0.021110578253865243,1.231917748490031,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,-0.0016767288463105032,0.9406518522589588,0.0013440731822842414,0.0011898929164917956,0.0655476324905696,0.0,0.0,0.0,0.0,0.0013440731822842414,0.047573734997462334
LVA-EST,fedprox,0.026479487121105195,0.020950501784682274,1.227575701390143,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,-0.0017729337232102224,0.9372466616938793,0.00047951001541239477,0.000525650047999438,0.030231420406682204,0.0,0.0,0.0,0.0,0.0004795100154123946,0.016972351433341876
TTF,fedavg,0.037753719836473465,0.029377349466085435,1.2988026331237519,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.0057593181907545435,1.1800101859859342,0.0005598421734122201,0.0006564106208257164,0.023390757525513714,0.0,0.0,0.0,0.0,0.0005598421734122201,0.017498129191834046
TTF,fedprox,0.03713617920875549,0.028871361538767813,1.2833442326654392,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.0051417775630365715,1.1607086645961568,0.001532613192028835,0.0011956521946911809,0.04312004367707639,0.0,0.0,0.0,0.0,0.0015326131920288348,0.04790254273231297
