test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma
1af8827edb,NBP,1,0,fedavg,fedavg,0,1,5,1,0.001,,0.08497513319472445,0.06796270033841705,2.253551979905669,1.2880080480794966,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,2,5,1,0.001,,0.0655370636278317,0.04385153682770855,1.9082353891388601,0.908848892699739,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,3,5,1,0.001,,0.06555183863354407,0.04386759727763576,1.9071638099681096,0.908459593356675,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,4,5,1,0.001,,0.06546983066863031,0.04377542859415637,1.9070186960307232,0.9075279957544118,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,5,5,1,0.001,,0.06541977480013547,0.04382491882666534,1.907466774829405,0.90807052227759,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,6,5,1,0.001,,0.06563035878146883,0.044071445203390784,1.9084814302618418,0.9109000097216509,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,7,5,1,0.001,,0.0653995459935771,0.04376940837362432,1.9065754397960788,0.9070440251357245,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,8,5,1,0.001,,0.0657198337875658,0.04413183604372663,1.910759149771058,0.9127767335879482,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,9,5,1,0.001,,0.06555759221784437,0.043895366387839696,1.9094921265155491,0.9100474734168525,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,0,10,5,1,0.001,,0.0653517498266234,0.04370281775691442,1.9054046629198131,0.9058880693585424,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,3.0,0,0.0
