test_hub,train_rows,test_rows,n_features_total,n_features_used,model,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price
FIN,117,58,20,19,"MLP(hidden=(64, 32),alpha=0.0001) + median_impute + zscore",0.18010437017765957,0.11967885323807774,9.972238577801583,6.316543599969152,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172
LTU,117,58,20,19,"MLP(hidden=(64, 32),alpha=0.0001) + median_impute + zscore",0.07248390320781087,0.05422534402765308,3.558951098885172,2.58275796843385,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346
LVA-EST,117,58,20,19,"MLP(hidden=(64, 32),alpha=0.0001) + median_impute + zscore",0.07451840893095096,0.061348720961333876,3.5900175859573755,2.9094488182135714,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011
TTF,174,1,20,19,"MLP(hidden=(64, 32),alpha=0.0001) + median_impute + zscore",0.03341680712336475,0.03341680712336475,0.988587478184126,0.988587478184126,0.0237572259193288,0.0237572259193288,0.6829999999999998,0.6829999999999998
