test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac,canary_round_eval
8601442705,FIN,1,0,fedavg,fedavg,1,1,5,3,0.001,,0.4247001485099867,0.388057649655946,28.274922258995268,24.71850919534831,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.15606728196144104,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,2,5,3,0.001,,0.3699594246563064,0.33362109137644813,24.184000636597442,20.772345163844786,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.1830463707447052,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,3,5,3,0.001,,0.3185911706201711,0.2819785529748609,20.572879871798566,17.244633829830022,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.21027043461799622,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,4,5,3,0.001,,0.27186525013066726,0.23303137386291978,17.431310009342923,14.067840396500868,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.2370748370885849,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,5,5,3,0.001,,0.22935289428129024,0.18278634105658495,14.662398282120693,10.97135081268179,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.26300954818725586,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,6,5,3,0.001,,0.19514426177065725,0.1448380779861352,12.410115498887123,8.626946184232319,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.2878352403640747,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,7,5,3,0.001,,0.17093932209519372,0.13045375090511918,10.733188266571574,7.600402045136896,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.2995825707912445,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,8,5,3,0.001,,0.15403844745919099,0.11822267753074091,9.61840992485003,6.805404657802705,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3281925916671753,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,9,5,3,0.001,,0.1412695989315414,0.10600373460078243,8.821082129908099,6.057696724685102,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3079923391342163,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,10,5,3,0.001,,0.1317376661776293,0.09431691830305398,8.272270010132692,5.383594287656506,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.31512415409088135,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,11,5,3,0.001,,0.12518397265064757,0.08523621194612573,7.895140603696349,4.876101428111052,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3555479049682617,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,12,5,3,0.001,,0.12114361907857604,0.07841551698521503,7.671472150479015,4.502060357640529,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.36075788736343384,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,13,5,3,0.001,,0.11899434616773163,0.07528234154020098,7.537118944889128,4.325425631323765,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3633567690849304,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,14,5,3,0.001,,0.11761813120926742,0.07293197509063938,7.448266987506162,4.183538430080332,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.36102184653282166,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,15,5,3,0.001,,0.11667125118166584,0.07108323054101141,7.367445822154919,4.061543018597981,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3648707866668701,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,16,5,3,0.001,,0.11637140583763865,0.0701394522505419,7.33362768190009,3.9945761333364866,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.36342543363571167,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,17,5,3,0.001,,0.1163102502275625,0.06900654498493733,7.341145909722862,3.9295528007314133,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.32987895607948303,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,18,5,3,0.001,,0.11606199157261718,0.0680813989416367,7.3310258313387076,3.873223775925308,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.36410853266716003,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,19,5,3,0.001,,0.11608571650908371,0.06785283585085036,7.32456400237649,3.8503221069790166,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.36400744318962097,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,20,5,3,0.001,,0.11617729156539695,0.0674259252901438,7.339206600850453,3.827737280934021,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3314160108566284,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,21,5,3,0.001,,0.11597706050830867,0.06710558385208876,7.329486175537606,3.804601943048938,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.365124374628067,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,22,5,3,0.001,,0.115730758045528,0.0668420248302623,7.317911378785551,3.787561548500225,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3640858232975006,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,23,5,3,0.001,,0.11576701805854478,0.06693336650767315,7.319538249203243,3.7888346651648654,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.33034586906433105,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,24,5,3,0.001,,0.11564611901750767,0.06687270452274444,7.316450586529935,3.7879806104980664,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.36515459418296814,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,25,5,3,0.001,,0.11566674524589664,0.0668845717561359,7.316362106224634,3.7849049300890543,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.32923099398612976,0.2,1
8601442705,FIN,1,0,fedavg,fedavg,1,26,5,3,0.001,,0.11572650190764498,0.06689937753705227,7.326063647477878,3.790528196338949,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,11,LTU,0.3597851097583771,0.2,1
