test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac
FIN,,0,0,fedavg,fedavg,0,1,5,3,0.001,,0.30064740990642913,0.28221294798352353,19.154181622124415,17.13378078846479,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.16781800985336304,0.2
FIN,,0,0,fedavg,fedavg,0,2,5,3,0.001,,0.26854782947798794,0.2471040425694684,16.97907447728547,14.819414421757745,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.18484880030155182,0.2
FIN,,0,0,fedavg,fedavg,0,3,5,3,0.001,,0.23887406662890895,0.21228697382822906,15.063427640416894,12.639625149151374,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.2013416439294815,0.2
FIN,,0,0,fedavg,fedavg,0,4,5,3,0.001,,0.2106446826593263,0.17795954439799092,13.272352871710677,10.567358904848838,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.21842911839485168,0.2
FIN,,0,0,fedavg,fedavg,0,5,5,3,0.001,,0.1862485663825557,0.1496993236626089,11.72484657665556,8.829398401138084,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.23448216915130615,0.2
FIN,,0,0,fedavg,fedavg,0,6,5,3,0.001,,0.1677341644499454,0.1315480329809863,10.521869561397745,7.635837293133653,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.25192496180534363,0.2
FIN,,0,0,fedavg,fedavg,0,7,5,3,0.001,,0.15544402327699428,0.11809279196163046,9.773376730935597,6.832610443349542,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.25704923272132874,0.2
FIN,,0,0,fedavg,fedavg,0,8,5,3,0.001,,0.1460716745645532,0.1057843757158041,9.249404298792658,6.1488170201223475,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.2788704037666321,0.2
FIN,,0,0,fedavg,fedavg,0,9,5,3,0.001,,0.13863875702269807,0.09484876597306194,8.85862894449416,5.558193256429557,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.286931574344635,0.2
FIN,,0,0,fedavg,fedavg,0,10,5,3,0.001,,0.13317011376516721,0.08728629291802244,8.560273858898032,5.142120669876707,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,11,LTU,0.2625645697116852,0.2
