test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac,canary_round_eval
1af8827edb,NBP,1,0,fedavg,fedavg,0,1,5,1,0.001,,0.06611645840837524,0.04438087702548164,1.91095754800573,0.9149924701422615,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,1
1af8827edb,NBP,1,0,fedavg,fedavg,0,2,5,1,0.001,,0.06583084577026024,0.04409364398640079,1.908291751047942,0.910850793824714,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,3,5,1,0.001,,0.06576509641284796,0.04418037833354116,1.914456954930885,0.9153113878253112,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,4,5,1,0.001,,0.06558919573136324,0.043930127272068915,1.9087676411051988,0.9097787435609422,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,5,5,1,0.001,,0.06545978197661256,0.04383318117915547,1.9077555931990424,0.9083458057138002,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,1
1af8827edb,NBP,1,0,fedavg,fedavg,0,6,5,1,0.001,,0.0653738443205195,0.04377826133245851,1.911282556940298,0.9099330671731218,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,7,5,1,0.001,,0.06530388316212091,0.04363989661577035,1.907061821937456,0.9061728297220061,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,8,5,1,0.001,,0.06533838387028962,0.04368342552438791,1.909539393527768,0.9079989246416598,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,9,5,1,0.001,,0.0653635466932747,0.04375322129943225,1.9113225914510363,0.9097006880339684,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
1af8827edb,NBP,1,0,fedavg,fedavg,0,10,5,1,0.001,,0.06528813452061356,0.04362241255219452,1.9070564322697858,0.90602367846138,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,1
1af8827edb,NBP,1,0,fedavg,fedavg,0,11,5,1,0.001,,0.06529365634004866,0.04365906548879013,1.9086088979406755,0.9074326265556828,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.1,0,,,0.0,0
