test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac,canary_round_eval
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,1,5,3,0.001,,0.26896563787027683,0.26005359436385334,7.659226232721543,7.4729828285019275,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,0.7494715452194214,0.2,1
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,2,5,3,0.001,,0.21686854478662515,0.2025995634661956,6.231608951060669,5.882661432646088,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,3,5,3,0.001,,0.17110921456850006,0.15461920683915428,5.017542663106574,4.55526297810219,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,4,5,3,0.001,,0.1319563684780564,0.12035265736877761,4.028858499813443,3.6839439923935013,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,5,5,3,0.001,,0.09461889751026795,0.08446452420863906,2.9902321036175743,2.657229589757272,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,0.6709161996841431,0.2,1
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,6,5,3,0.001,,0.06383808856271729,0.05367475421211319,2.1252387067306953,1.762509479526746,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,7,5,3,0.001,,0.047261615159761974,0.03548364858320614,1.6614435809146026,1.226785846792035,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,8,5,3,0.001,,0.04346187409396827,0.03222637281109879,1.5472364154795628,1.1253832408917153,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,9,5,3,0.001,,0.04202590306461351,0.03127393087123568,1.5069738617335402,1.094678840865523,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,10,5,3,0.001,,0.04090190830051987,0.030517523809359803,1.4675512566491762,1.0660704126842946,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,0.6092898845672607,0.2,1
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,11,5,3,0.001,,0.03998068007044917,0.03002936893509764,1.4300743145796868,1.04536457210173,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,12,5,3,0.001,,0.038810036297771106,0.02922870315141755,1.3813130641988318,1.013711338199801,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,13,5,3,0.001,,0.03801202132595176,0.02868413870021606,1.3475071991002947,0.991938640468201,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
c6d39aa2f0,TTF,1,0,fedavg,fedavg,0,14,5,3,0.001,,0.03772520211294497,0.02832792997774589,1.3319253284511983,0.9775767960316042,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,,0.2,0
