test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma
1af8827edb,NBP,1,0,fedavg,fedavg,4,1,5,1,0.001,,0.06683743676277576,0.044911406856418395,1.9158718531198964,0.9218418499704503,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,2,5,1,0.001,,0.06562736933235648,0.044017363848783235,1.9074193494656988,0.9099937649304851,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,3,5,1,0.001,,0.06582282073293645,0.04436714450809183,1.9158122067759868,0.9178235447644487,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,4,5,1,0.001,,0.06551774762373935,0.04391813497423827,1.9069586040213449,0.9089430991270782,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,5,5,1,0.001,,0.06602361713937141,0.04477243390558441,1.9263676848417242,0.926938019941602,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,6,5,1,0.001,,0.06549662549254218,0.043922206090911214,1.9053982119647488,0.9078604722593667,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,7,5,1,0.001,,0.06536662442968355,0.04375757652542916,1.9058073185676083,0.906743772865069,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,8,5,1,0.001,,0.06546924922208815,0.043875458595224945,1.9067662416287097,0.908484534719245,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,9,5,1,0.001,,0.06526320091433582,0.04365606503191996,1.9065910088189224,0.9062666773247917,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,10,5,1,0.001,,0.06560622520302468,0.04390180422150393,1.9083468492155449,0.9096402763225703,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,11,5,1,0.001,,0.06592179414227442,0.04427457697838936,1.9113451374354984,0.9146311583758825,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,12,5,1,0.001,,0.06556872639001547,0.0439099590753092,1.9094995418434064,0.9102105950163689,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,13,5,1,0.001,,0.06541288169350414,0.04375998147468695,1.9099801654464235,0.9090185821785886,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,14,5,1,0.001,,0.0652512172491273,0.04355789136967616,1.9067942989741824,0.905277075946866,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,15,5,1,0.001,,0.0653449551309034,0.04364432652385429,1.9069923244361309,0.9063828832958606,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,16,5,1,0.001,,0.06525916566307591,0.043589151125628854,1.9052806851431119,0.9047446965248732,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
1af8827edb,NBP,1,0,fedavg,fedavg,4,17,5,1,0.001,,0.06546174340976114,0.043822997859708834,1.9073106870233782,0.9083026143688901,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.0
