round,test_rmse
1,31.613170623779297
2,31.2561092376709
3,30.58098602294922
4,29.4217586517334
5,27.501323699951172
6,24.656221389770508
7,20.6942081451416
8,15.41004467010498
9,8.68797492980957
10,1.247406244277954
11,2.3501927852630615
12,1.658393144607544
13,1.823920726776123
14,1.792439579963684
15,1.8165370225906372
16,1.7863495349884033
17,1.7878791093826294
18,1.7825831174850464
19,1.7740533351898193
20,1.7765042781829834
21,1.7666512727737427
22,1.7696328163146973
23,1.7599241733551025
24,1.7623240947723389
25,1.7527501583099365
26,1.754581093788147
27,1.7450151443481445
28,1.7464337348937988
29,1.743408441543579
30,1.734618902206421
31,1.735484004020691
32,1.7259243726730347
33,1.7267624139785767
34,1.723778486251831
35,1.714846134185791
36,1.7154372930526733
37,1.7125543355941772
38,1.7036163806915283
39,1.7041550874710083
40,1.7013790607452393
41,1.6924934387207031
42,1.693033218383789
43,1.6903753280639648
44,1.681572675704956
45,1.6821411848068237
46,1.6796067953109741
47,1.670906662940979
48,1.671642780303955
49,1.6692008972167969
50,1.6606100797653198
