hub,date,features_file,symbol,n_agents,n_type_NoiseAgent,n_type_ValueAgent,n_type_MomentumAgent,mid_mean,mid_std,mid_min,mid_max,mid_median,spread_mean,spread_std,spread_min,spread_max,spread_median,fills_total,fills_mean_per_agent,vol_total,vol_mean_per_agent,vwap_proxy,price,target_next_price,target_next_date,log_ret_next
NBP,2020-11-23,data/simulated_trades_long/agent_features_NBP_2020-11-23.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.048999786376953,5.215000152587891,2020-11-24,0.03234895614535227
NBP,2020-11-24,data/simulated_trades_long/agent_features_NBP_2020-11-24.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.215000152587891,5.2829999923706055,2020-11-25,0.012954999025879932
NBP,2020-11-25,data/simulated_trades_long/agent_features_NBP_2020-11-25.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.2829999923706055,5.639999866485596,2020-11-27,0.0653899250991623
NBP,2020-11-27,data/simulated_trades_long/agent_features_NBP_2020-11-27.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.639999866485596,5.833000183105469,2020-11-30,0.03364743732560216
NBP,2020-11-30,data/simulated_trades_long/agent_features_NBP_2020-11-30.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.833000183105469,5.783999919891357,2020-12-01,-0.008436008156381236
NBP,2020-12-01,data/simulated_trades_long/agent_features_NBP_2020-12-01.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.783999919891357,5.816999912261963,2020-12-02,0.0056891788391639775
NBP,2020-12-02,data/simulated_trades_long/agent_features_NBP_2020-12-02.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.816999912261963,5.565000057220459,2020-12-03,-0.0442876548358746
NBP,2020-12-03,data/simulated_trades_long/agent_features_NBP_2020-12-03.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.565000057220459,5.739999771118164,2020-12-04,0.03096217544687918
NBP,2020-12-04,data/simulated_trades_long/agent_features_NBP_2020-12-04.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.739999771118164,5.611000061035156,2020-12-07,-0.022730202809987166
NBP,2020-12-07,data/simulated_trades_long/agent_features_NBP_2020-12-07.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.611000061035156,5.640999794006348,2020-12-08,0.005332350594013047
