test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac
FIN,,0,0,fedavg,fedavg,0,1,5,3,0.001,,0.1828769753872493,0.14325715115460455,9.677891413525375,7.018242273235115,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,3.048280954360962,0.05
FIN,,0,0,fedavg,fedavg,0,2,5,3,0.001,,0.14773652116492017,0.09903112411697733,8.73083851937347,5.301509063905683,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,3.0251290798187256,0.05
FIN,,0,0,fedavg,fedavg,0,3,5,3,0.001,,0.13681782957559807,0.08640098370208228,8.52948168348183,4.785755792354715,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,3.0048232078552246,0.05
FIN,,0,0,fedavg,fedavg,0,4,5,3,0.001,,0.12989434146571532,0.07852040816465762,8.129067427969176,4.390143645345137,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9942824840545654,0.05
FIN,,0,0,fedavg,fedavg,0,5,5,3,0.001,,0.12455728356010805,0.07396225754025088,7.827705238884479,4.145107827640812,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.972365140914917,0.05
FIN,,0,0,fedavg,fedavg,0,6,5,3,0.001,,0.12156535684453781,0.07007886303121079,7.66447281513363,3.936701200415349,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9839258193969727,0.05
FIN,,0,0,fedavg,fedavg,0,7,5,3,0.001,,0.11953612513015087,0.06759255399459828,7.548891082384084,3.809320237266606,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.959005355834961,0.05
FIN,,0,0,fedavg,fedavg,0,8,5,3,0.001,,0.11809949312338135,0.0661866132502147,7.46742513189497,3.741967334274588,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9722421169281006,0.05
FIN,,0,0,fedavg,fedavg,0,9,5,3,0.001,,0.11693725122147995,0.0651141864740378,7.39996988879224,3.6860206231752346,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.967224359512329,0.05
FIN,,0,0,fedavg,fedavg,0,10,5,3,0.001,,0.11605464743775483,0.06415863262021769,7.354580202787491,3.636586500723814,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9473464488983154,0.05
FIN,,0,0,fedavg,fedavg,0,11,5,3,0.001,,0.11524867452316735,0.06366503049954692,7.2976092852403704,3.605629358524906,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9613656997680664,0.05
FIN,,0,0,fedavg,fedavg,0,12,5,3,0.001,,0.11475603094927492,0.06300691575371933,7.273974497853286,3.570666755610499,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.936265230178833,0.05
FIN,,0,0,fedavg,fedavg,0,13,5,3,0.001,,0.1143413683368796,0.06299338442953865,7.24039414850791,3.5668239203619554,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9539928436279297,0.05
FIN,,0,0,fedavg,fedavg,0,14,5,3,0.001,,0.11414970505741413,0.06246255135017142,7.241370811726555,3.5435412369976786,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.9534833431243896,0.05
FIN,,0,0,fedavg,fedavg,0,15,5,3,0.001,,0.11374108198272213,0.062229325623022684,7.207913836306643,3.525400087237358,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.95052433013916,0.05
FIN,,0,0,fedavg,fedavg,0,16,5,3,0.001,,0.11388856962325772,0.06221799916489419,7.229109709147025,3.532289622096153,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.0,2,LTU,2.946047782897949,0.05
