date,adj_close,close,High,Low,Open,Volume
,TTF=F,TTF=F,TTF=F,TTF=F,TTF=F,TTF=F
2018-01-02,19.31999969482422,19.31999969482422,19.31999969482422,19.31999969482422,19.31999969482422,0
2018-01-03,19.325000762939453,19.325000762939453,19.325000762939453,19.325000762939453,19.325000762939453,0
2018-01-04,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,0
2018-01-05,18.915000915527344,18.915000915527344,18.915000915527344,18.915000915527344,18.915000915527344,0
2018-01-08,19.049999237060547,19.049999237060547,19.049999237060547,19.049999237060547,19.049999237060547,0
2018-01-09,19.434999465942383,19.434999465942383,19.434999465942383,19.434999465942383,19.434999465942383,0
2018-01-10,19.325000762939453,19.325000762939453,19.325000762939453,19.325000762939453,19.325000762939453,0
2018-01-11,19.31999969482422,19.31999969482422,19.31999969482422,19.31999969482422,19.31999969482422,0
2018-01-12,19.80500030517578,19.80500030517578,19.80500030517578,19.80500030517578,19.80500030517578,0
2018-01-16,18.899999618530273,18.899999618530273,18.899999618530273,18.899999618530273,18.899999618530273,0
2018-01-17,18.440000534057617,18.440000534057617,18.440000534057617,18.440000534057617,18.440000534057617,0
2018-01-18,18.350000381469727,18.350000381469727,18.350000381469727,18.350000381469727,18.350000381469727,0
2018-01-19,18.190000534057617,18.190000534057617,18.190000534057617,18.190000534057617,18.190000534057617,0
2018-01-22,18.545000076293945,18.545000076293945,18.545000076293945,18.545000076293945,18.545000076293945,0
2018-01-23,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,0
2018-01-24,17.790000915527344,17.790000915527344,17.790000915527344,17.790000915527344,17.790000915527344,0
2018-01-25,17.780000686645508,17.780000686645508,17.780000686645508,17.780000686645508,17.780000686645508,0
2018-01-26,17.780000686645508,17.780000686645508,17.780000686645508,17.780000686645508,17.780000686645508,0
2018-01-29,17.395000457763672,17.395000457763672,17.395000457763672,17.395000457763672,17.395000457763672,0
2018-01-30,17.40999984741211,17.40999984741211,17.40999984741211,17.40999984741211,17.40999984741211,0
2018-01-31,17.8799991607666,17.8799991607666,17.8799991607666,17.8799991607666,17.8799991607666,0
2018-02-01,18.149999618530273,18.149999618530273,18.149999618530273,18.149999618530273,18.149999618530273,0
2018-02-02,18.15999984741211,18.15999984741211,18.15999984741211,18.15999984741211,18.15999984741211,0
2018-02-05,17.59000015258789,17.59000015258789,17.59000015258789,17.59000015258789,17.59000015258789,0
2018-02-06,17.8799991607666,17.8799991607666,17.8799991607666,17.8799991607666,17.8799991607666,0
2018-02-07,18.155000686645508,18.155000686645508,18.155000686645508,18.155000686645508,18.155000686645508,0
2018-02-08,17.739999771118164,17.739999771118164,17.739999771118164,17.739999771118164,17.739999771118164,0
2018-02-09,17.899999618530273,17.899999618530273,17.899999618530273,17.899999618530273,17.899999618530273,0
2018-02-12,17.950000762939453,17.950000762939453,17.950000762939453,17.950000762939453,17.950000762939453,0
2018-02-13,18.30500030517578,18.30500030517578,18.30500030517578,18.30500030517578,18.30500030517578,0
2018-02-14,18.075000762939453,18.075000762939453,18.075000762939453,18.075000762939453,18.075000762939453,0
2018-02-15,17.790000915527344,17.790000915527344,17.790000915527344,17.790000915527344,17.790000915527344,0
2018-02-16,18.165000915527344,18.165000915527344,18.165000915527344,18.165000915527344,18.165000915527344,0
2018-02-20,19.770000457763672,19.770000457763672,19.770000457763672,19.770000457763672,19.770000457763672,0
2018-02-21,19.780000686645508,19.780000686645508,19.780000686645508,19.780000686645508,19.780000686645508,0
2018-02-22,19.940000534057617,19.940000534057617,19.940000534057617,19.940000534057617,19.940000534057617,0
2018-02-23,20.40999984741211,20.40999984741211,20.40999984741211,20.40999984741211,20.40999984741211,0
2018-02-26,18.690000534057617,18.690000534057617,18.690000534057617,18.690000534057617,18.690000534057617,0
2018-02-27,19.19499969482422,19.19499969482422,19.19499969482422,19.19499969482422,19.19499969482422,10
2018-02-28,17.350000381469727,17.350000381469727,17.350000381469727,17.350000381469727,17.350000381469727,0
2018-03-01,17.559999465942383,17.559999465942383,17.559999465942383,17.559999465942383,17.559999465942383,50
2018-03-02,17.80500030517578,17.80500030517578,17.80500030517578,17.80500030517578,17.80500030517578,0
2018-03-05,17.514999389648438,17.514999389648438,17.514999389648438,17.514999389648438,17.514999389648438,0
2018-03-06,17.700000762939453,17.700000762939453,17.700000762939453,17.700000762939453,17.700000762939453,0
2018-03-07,17.829999923706055,17.829999923706055,17.829999923706055,17.829999923706055,17.829999923706055,0
2018-03-08,18.315000534057617,18.315000534057617,18.315000534057617,18.315000534057617,18.315000534057617,0
2018-03-09,18.940000534057617,18.940000534057617,18.940000534057617,18.940000534057617,18.940000534057617,40
2018-03-12,19.709999084472656,19.709999084472656,19.709999084472656,19.709999084472656,19.709999084472656,50
2018-03-13,19.46500015258789,19.46500015258789,19.46500015258789,19.46500015258789,19.46500015258789,0
2018-03-14,18.614999771118164,18.614999771118164,18.614999771118164,18.55500030517578,18.55500030517578,0
2018-03-15,18.799999237060547,18.799999237060547,18.799999237060547,18.799999237060547,18.799999237060547,10
2018-03-16,18.655000686645508,18.655000686645508,18.655000686645508,18.655000686645508,18.655000686645508,25
2018-03-19,18.700000762939453,18.700000762939453,18.700000762939453,18.700000762939453,18.700000762939453,0
2018-03-20,19.174999237060547,19.174999237060547,19.174999237060547,19.174999237060547,19.174999237060547,0
2018-03-21,19.389999389648438,19.389999389648438,19.389999389648438,19.389999389648438,19.389999389648438,5
2018-03-22,19.010000228881836,19.010000228881836,19.010000228881836,19.010000228881836,19.010000228881836,0
2018-03-23,18.44499969482422,18.44499969482422,18.44499969482422,18.44499969482422,18.44499969482422,0
2018-03-26,17.989999771118164,17.989999771118164,17.989999771118164,17.989999771118164,17.989999771118164,0
2018-03-27,18.4950008392334,18.4950008392334,18.4950008392334,18.4950008392334,18.4950008392334,0
2018-03-28,18.3700008392334,18.3700008392334,18.3700008392334,18.3700008392334,18.3700008392334,0
2018-03-29,18.225000381469727,18.225000381469727,18.225000381469727,18.225000381469727,18.225000381469727,0
2018-04-02,18.225000381469727,18.225000381469727,18.225000381469727,18.225000381469727,18.225000381469727,0
2018-04-03,18.040000915527344,18.040000915527344,18.040000915527344,18.040000915527344,18.040000915527344,0
2018-04-04,18.184999465942383,18.184999465942383,18.184999465942383,18.184999465942383,18.184999465942383,0
2018-04-05,18.1299991607666,18.1299991607666,18.1299991607666,18.1299991607666,18.1299991607666,0
2018-04-06,18.18000030517578,18.18000030517578,18.18000030517578,18.18000030517578,18.18000030517578,0
2018-04-09,18.645000457763672,18.645000457763672,18.645000457763672,18.645000457763672,18.645000457763672,0
2018-04-10,18.84000015258789,18.84000015258789,18.84000015258789,18.84000015258789,18.84000015258789,0
2018-04-11,19.2549991607666,19.2549991607666,19.2549991607666,19.2549991607666,19.2549991607666,0
2018-04-12,19.21500015258789,19.21500015258789,19.21500015258789,19.21500015258789,19.21500015258789,0
2018-04-13,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,0
2018-04-16,19.350000381469727,19.350000381469727,19.350000381469727,19.350000381469727,19.350000381469727,0
2018-04-17,19.014999389648438,19.014999389648438,19.014999389648438,19.014999389648438,19.014999389648438,0
2018-04-18,19.309999465942383,19.309999465942383,19.309999465942383,19.309999465942383,19.309999465942383,0
2018-04-19,19.860000610351562,19.860000610351562,19.860000610351562,19.520000457763672,19.520000457763672,20
2018-04-20,19.799999237060547,19.799999237060547,19.834999084472656,19.799999237060547,19.834999084472656,10
2018-04-23,19.889999389648438,19.889999389648438,19.889999389648438,19.889999389648438,19.889999389648438,0
2018-04-24,19.674999237060547,19.674999237060547,19.674999237060547,19.625,19.635000228881836,20
2018-04-25,19.8799991607666,19.8799991607666,19.8799991607666,19.549999237060547,19.549999237060547,20
2018-04-26,20.149999618530273,20.149999618530273,20.149999618530273,20.149999618530273,20.149999618530273,0
2018-04-27,20.264999389648438,20.264999389648438,20.264999389648438,20.264999389648438,20.264999389648438,0
2018-04-30,20.559999465942383,20.559999465942383,20.559999465942383,20.559999465942383,20.559999465942383,0
2018-05-01,20.094999313354492,20.094999313354492,20.094999313354492,20.094999313354492,20.094999313354492,0
2018-05-02,19.864999771118164,19.864999771118164,19.864999771118164,19.864999771118164,19.864999771118164,0
2018-05-03,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,0
2018-05-04,20.420000076293945,20.420000076293945,20.420000076293945,20.420000076293945,20.420000076293945,0
2018-05-07,20.420000076293945,20.420000076293945,20.420000076293945,20.420000076293945,20.420000076293945,0
2018-05-08,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,0
2018-05-09,20.844999313354492,20.844999313354492,21.135000228881836,20.84000015258789,21.135000228881836,20
2018-05-10,21.0049991607666,21.0049991607666,21.0049991607666,21.0049991607666,21.0049991607666,0
2018-05-11,21.264999389648438,21.264999389648438,21.264999389648438,21.264999389648438,21.264999389648438,10
2018-05-14,21.625,21.625,21.625,21.625,21.625,0
2018-05-15,21.540000915527344,21.540000915527344,21.540000915527344,21.540000915527344,21.540000915527344,30
2018-05-16,21.670000076293945,21.670000076293945,21.670000076293945,21.395000457763672,21.395000457763672,10
2018-05-17,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0
2018-05-18,22.05500030517578,22.05500030517578,22.05500030517578,22.05500030517578,22.05500030517578,0
2018-05-21,22.375,22.375,22.375,22.375,22.375,0
2018-05-22,22.905000686645508,22.905000686645508,22.905000686645508,22.905000686645508,22.905000686645508,0
2018-05-23,22.71500015258789,22.71500015258789,22.71500015258789,22.71500015258789,22.71500015258789,0
2018-05-24,22.69499969482422,22.69499969482422,22.69499969482422,22.69499969482422,22.69499969482422,0
2018-05-25,21.80500030517578,21.80500030517578,22.260000228881836,21.80500030517578,22.260000228881836,20
2018-05-29,22.655000686645508,22.655000686645508,22.655000686645508,22.655000686645508,22.655000686645508,0
2018-05-30,22.985000610351562,22.985000610351562,22.985000610351562,22.985000610351562,22.985000610351562,0
2018-05-31,22.579999923706055,22.579999923706055,22.579999923706055,22.579999923706055,22.579999923706055,0
2018-06-01,21.774999618530273,21.774999618530273,21.774999618530273,21.774999618530273,21.774999618530273,0
2018-06-04,21.905000686645508,21.905000686645508,21.905000686645508,21.905000686645508,21.905000686645508,0
2018-06-05,21.43000030517578,21.43000030517578,21.43000030517578,21.43000030517578,21.43000030517578,0
2018-06-06,21.31999969482422,21.31999969482422,21.31999969482422,21.31999969482422,21.31999969482422,0
2018-06-07,21.665000915527344,21.665000915527344,21.665000915527344,21.665000915527344,21.665000915527344,0
2018-06-08,21.540000915527344,21.540000915527344,21.540000915527344,21.540000915527344,21.540000915527344,0
2018-06-11,21.350000381469727,21.350000381469727,21.350000381469727,21.350000381469727,21.350000381469727,0
2018-06-12,21.78499984741211,21.78499984741211,21.78499984741211,21.78499984741211,21.78499984741211,0
2018-06-13,22.3799991607666,22.3799991607666,22.3799991607666,22.3799991607666,22.3799991607666,0
2018-06-14,22.354999542236328,22.354999542236328,22.354999542236328,22.354999542236328,22.354999542236328,0
2018-06-15,21.75,21.75,22.354999542236328,21.75,22.354999542236328,0
2018-06-18,22.139999389648438,22.139999389648438,22.139999389648438,22.139999389648438,22.139999389648438,0
2018-06-19,21.69499969482422,21.69499969482422,21.69499969482422,21.69499969482422,21.69499969482422,1
2018-06-20,21.5,21.5,21.5,21.5,21.5,1
2018-06-21,21.545000076293945,21.545000076293945,21.545000076293945,21.545000076293945,21.545000076293945,0
2018-06-22,21.655000686645508,21.655000686645508,21.655000686645508,21.655000686645508,21.655000686645508,10
2018-06-25,21.545000076293945,21.545000076293945,21.6299991607666,21.545000076293945,21.6299991607666,10
2018-06-26,21.4950008392334,21.4950008392334,21.4950008392334,21.4950008392334,21.4950008392334,20
2018-06-27,22.03499984741211,22.03499984741211,22.03499984741211,22.03499984741211,22.03499984741211,0
2018-06-28,21.959999084472656,21.959999084472656,21.959999084472656,21.959999084472656,21.959999084472656,0
2018-06-29,21.875,21.875,21.875,21.875,21.875,0
2018-07-02,22.239999771118164,22.239999771118164,22.239999771118164,22.239999771118164,22.239999771118164,0
2018-07-03,22.260000228881836,22.260000228881836,22.260000228881836,22.260000228881836,22.260000228881836,0
2018-07-05,22.46500015258789,22.46500015258789,22.46500015258789,22.46500015258789,22.46500015258789,0
2018-07-06,22.354999542236328,22.354999542236328,22.354999542236328,22.354999542236328,22.354999542236328,0
2018-07-09,22.729999542236328,22.729999542236328,22.729999542236328,22.729999542236328,22.729999542236328,0
2018-07-10,22.729999542236328,22.729999542236328,22.729999542236328,22.729999542236328,22.729999542236328,0
2018-07-11,22.579999923706055,22.579999923706055,22.579999923706055,22.579999923706055,22.579999923706055,0
2018-07-12,21.969999313354492,21.969999313354492,21.969999313354492,21.969999313354492,21.969999313354492,0
2018-07-13,22.264999389648438,22.264999389648438,22.264999389648438,22.264999389648438,22.264999389648438,0
2018-07-16,22.020000457763672,22.020000457763672,22.020000457763672,22.020000457763672,22.020000457763672,0
