test_hub,algo,rmse_ret_mean,mae_ret_mean,rmse_price_implied_mean,baseline_rmse_ret_mean,baseline_mae_ret_mean,baseline_rmse_price_mean,baseline_mae_price_mean,delta_rmse_ret_mean,ratio_rmse_ret_mean,rmse_ret_std,mae_ret_std,rmse_price_implied_std,baseline_rmse_ret_std,baseline_mae_ret_std,baseline_rmse_price_std,baseline_mae_price_std,delta_rmse_ret_std,ratio_rmse_ret_std,n_seeds
FIN,fedavg,0.1129995370232408,0.060973500616041586,7.182618523499615,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-0.0012882584582847272,0.9887279437593757,0.001161187108669269,0.001602938645733248,0.07400196054729763,0.0,0.0,0.0,0.0,0.0011611871086692693,0.010160202178866706,5
FIN,fednova,0.11362179005601673,0.06048542641671294,7.222116666702765,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-0.0006660054255087699,0.9941725586472054,0.00044128002422494605,0.00117283916105255,0.018356963710864947,0.0,0.0,0.0,0.0,0.00044128002422494757,0.003861129899003764,5
FIN,fedprox,0.11428449020458491,0.06159571073397367,7.260535357594553,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-3.3052769405933493e-06,0.999971079353428,0.0011181392011962426,0.0016247044972892948,0.08059133517906421,0.0,0.0,0.0,0.0,0.001118139201196243,0.00978353984767334,5
FIN,krum,0.11090049803106357,0.05937857125406073,7.040322762380136,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-0.003387297450461951,0.9703616870358699,0.0008885306465242865,0.001241895840683059,0.0798866334081075,0.0,0.0,0.0,0.0,0.0008885306465242865,0.007774501579811431,5
FIN,scaffold,0.12182231505680056,0.07767967713729815,7.476260028874772,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,0.007534519575275058,1.065925845743459,0.004940335301404656,0.006939716413437404,0.24391438048784317,0.0,0.0,0.0,0.0,0.004940335301404654,0.043227146700920115,5
FIN,zeno,0.11180507800355155,0.05967636264244432,7.114897173149688,0.11428779548152553,0.06315286692840304,7.22012467893113,3.573620689655172,-0.002482717477973953,0.9782766176605857,0.0008614238172259452,0.000739330194112565,0.05921346056350923,0.0,0.0,0.0,0.0,0.0008614238172259496,0.007537321142616623,5
LTU,fedavg,0.027490121261279025,0.022576257395046234,1.2599498621617742,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.0021307380320118377,0.9280662991267625,0.0004878754306286312,0.0007683069820282638,0.01760892724790389,0.0,0.0,0.0,0.0,0.0004878754306286302,0.016470671083439307,5
LTU,fednova,0.027369706897681007,0.022414075178626106,1.250927718406949,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.002251152395609861,0.9240011110643319,0.00026380134568738446,0.00045536249069564607,0.013778138753256071,0.0,0.0,0.0,0.0,0.0002638013456873851,0.00890593156246269,5
LTU,fedprox,0.027855813060575406,0.02273724030925097,1.2826898469117947,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.0017650462327154566,0.9404120516815919,0.00083591102575061,0.0004412178171929503,0.05006465297710191,0.0,0.0,0.0,0.0,0.0008359110257506102,0.028220350310362022,5
LTU,krum,0.02700673718874121,0.02217373245938657,1.2299467666258084,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.0026141221045496584,0.9117472562606663,0.0010451632500518722,0.00134929571128656,0.045040124378052424,0.0,0.0,0.0,0.0,0.0010451632500518724,0.035284703921084515,5
LTU,scaffold,0.06307931527605136,0.04798496166833251,2.9400522842162173,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,0.033458455982760496,2.1295572370629654,0.004306353106132586,0.003649858082264424,0.25298312955141095,0.0,0.0,0.0,0.0,0.004306353106132585,0.14538245037030284,5
