test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma
TTF,,0,0,fedavg,fedavg,0,1,5,3,0.001,,0.1118221073706622,0.0948294026311487,4.091428487367425,3.360432458144123,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,2,5,3,0.001,,0.07688998809779374,0.059677614877789706,2.7636778657367764,2.082916383625087,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,3,5,3,0.001,,0.056962260497146956,0.042496967928531436,1.9939601089248915,1.460432704557807,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,4,5,3,0.001,,0.04721662123000601,0.03600961594424069,1.6404033107431217,1.2323980656175284,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,5,5,3,0.001,,0.043233034398181214,0.03283596964024197,1.4959088893697368,1.1198257370661875,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,6,5,3,0.001,,0.041921321324661934,0.03193115555262983,1.447313275166629,1.0867060379638505,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,7,5,3,0.001,,0.040546959662917124,0.031146384761826594,1.3906509099655202,1.0564096421195286,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,8,5,3,0.001,,0.04092486488212191,0.03139120251161315,1.4157250113042923,1.0705166143340572,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,9,5,3,0.001,,0.04042003878721024,0.0310688790928383,1.3931888948424873,1.0576441824961513,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,10,5,3,0.001,,0.040095079091921365,0.031016598915349754,1.3833411825124042,1.0558216073917124,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,11,5,3,0.001,,0.03981487426402622,0.03094483088204732,1.3719901749269263,1.0519387810907117,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,12,5,3,0.001,,0.039924223522716365,0.030859932027188904,1.3782434145069846,1.051366981196201,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,13,5,3,0.001,,0.03914029952044288,0.030548087723742602,1.3504037986542694,1.040745589740195,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,14,5,3,0.001,,0.03967372325778389,0.03080045353124013,1.3700449251555942,1.0490705688060338,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,15,5,3,0.001,,0.03926608064870263,0.03082453866954893,1.3544990187336634,1.0480681553442592,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,16,5,3,0.001,,0.039676678335301856,0.03113611620432555,1.3721071940210379,1.0603487563294873,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
TTF,,0,0,fedavg,fedavg,0,17,5,3,0.001,,0.03890698097671242,0.030178894849209967,1.339958848502603,1.0282902182532565,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,3.0,4,0.0
