test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac
FIN,,0,0,fedavg,fedavg,0,1,5,3,0.001,,0.2706798378336102,0.2354279826932129,13.428088805983831,11.204231794836192,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.2022457122802734,0.05
FIN,,0,0,fedavg,fedavg,0,2,5,3,0.001,,0.20613119396187335,0.17456568081226956,10.396403911218108,8.424253551060783,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.189671754837036,0.05
FIN,,0,0,fedavg,fedavg,0,3,5,3,0.001,,0.14922229989819658,0.11659156027448701,7.990328733282725,5.80862232864828,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.164905309677124,0.05
FIN,,0,0,fedavg,fedavg,0,4,5,3,0.001,,0.1164214412551439,0.07660523560028604,6.9673391253290164,4.093926781536176,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.1518120765686035,0.05
FIN,,0,0,fedavg,fedavg,0,5,5,3,0.001,,0.11353081462172587,0.06499330103166547,7.154733002441951,3.6325460042758233,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.1268811225891113,0.05
FIN,,0,0,fedavg,fedavg,0,6,5,3,0.001,,0.11217189117431266,0.06338223330285159,7.049814220068873,3.5316038271383987,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.1397478580474854,0.05
FIN,,0,0,fedavg,fedavg,0,7,5,3,0.001,,0.11246505730282115,0.06157479928415028,7.114125392558021,3.4515592647616207,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.10809063911438,0.05
FIN,,0,0,fedavg,fedavg,0,8,5,3,0.001,,0.11287096711430851,0.06143230506758896,7.152688262160491,3.452556585181375,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.123213291168213,0.05
FIN,,0,0,fedavg,fedavg,0,9,5,3,0.001,,0.11362546542575681,0.06119968760046096,7.213457528083381,3.4535176130409884,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.1136889457702637,0.05
FIN,,0,0,fedavg,fedavg,0,10,5,3,0.001,,0.11426086239810801,0.06086719696307635,7.265349686221789,3.444311527956149,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.082960605621338,0.05
FIN,,0,0,fedavg,fedavg,0,11,5,3,0.001,,0.1147588737486094,0.06020420004768249,7.308409252880954,3.419001005111069,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0992484092712402,0.05
FIN,,0,0,fedavg,fedavg,0,12,5,3,0.001,,0.11532485583096774,0.06033963927093909,7.346951770846891,3.4337218929734723,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0712249279022217,0.05
FIN,,0,0,fedavg,fedavg,0,13,5,3,0.001,,0.11562989716575948,0.06073035131427379,7.358144818501585,3.4537213595807543,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0920331478118896,0.05
FIN,,0,0,fedavg,fedavg,0,14,5,3,0.001,,0.11591439385252653,0.06125082819299082,7.363932148646508,3.485128628104925,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.088555097579956,0.05
FIN,,0,0,fedavg,fedavg,0,15,5,3,0.001,,0.11677100989861793,0.06150441395433957,7.435215888566884,3.508835648121505,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0865447521209717,0.05
FIN,,0,0,fedavg,fedavg,0,16,5,3,0.001,,0.1166039059427234,0.0617051296571374,7.414186359385812,3.5191741170687916,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0782642364501953,0.05
FIN,,0,0,fedavg,fedavg,0,17,5,3,0.001,,0.11669894118013065,0.06177280507911526,7.418539714092343,3.5221803604117756,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.046355962753296,0.05
FIN,,0,0,fedavg,fedavg,0,18,5,3,0.001,,0.11670472471473345,0.06137202023618839,7.4326033392176925,3.505063739458034,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.048429250717163,0.05
FIN,,0,0,fedavg,fedavg,0,19,5,3,0.001,,0.11716275638069927,0.061994452080147436,7.461945799263274,3.5449801042049085,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0708119869232178,0.05
FIN,,0,0,fedavg,fedavg,0,20,5,3,0.001,,0.11683282711361222,0.06169614701979424,7.433597214929439,3.52443115884785,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.042802333831787,0.05
FIN,,0,0,fedavg,fedavg,0,21,5,3,0.001,,0.11726313124951018,0.061943718122322404,7.478247215929719,3.5470321799485856,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.062021017074585,0.05
FIN,,0,0,fedavg,fedavg,0,22,5,3,0.001,,0.11764281691566605,0.06271378206468492,7.4926772321632535,3.5919316144729483,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0287182331085205,0.05
FIN,,0,0,fedavg,fedavg,0,23,5,3,0.001,,0.11761055749098173,0.06246557633005131,7.49306768063869,3.5760221445920135,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.0536961555480957,0.05
FIN,,0,0,fedavg,fedavg,0,24,5,3,0.001,,0.117615981768645,0.06284362529273996,7.490370298361709,3.5980784728999784,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.051211357116699,0.05
FIN,,0,0,fedavg,fedavg,0,25,5,3,0.001,,0.11722082357645844,0.06230305177350288,7.469335602373394,3.5671167292019414,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,58,0.0,0,0.001,2,LTU,3.014519214630127,0.05
