date,mid_mean,mid_std,mid_p10,mid_p90,spread_mean,spread_std,vol_mean,vol_sum,n_agents_with_quotes,n_agents_total,quote_coverage,price,y_next_day,y_synth
1997-01-07,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.82,3.8,7.012640480193116
1997-01-08,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.8,3.61,6.999193468333166
1997-01-09,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.61,3.92,7.0170978213536355
1997-01-10,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.92,4.0,7.018998956559483
1997-01-13,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,4.0,4.01,6.990082957509033
1997-01-14,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,4.01,4.34,6.996571514326948
1997-01-15,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,4.34,4.71,7.010871713427244
1997-01-16,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,4.71,3.91,7.006430883472135
1997-01-17,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.91,3.26,7.0094252978205285
1997-01-20,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.26,2.99,7.001062870119835
1997-01-21,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.99,3.05,7.0183872891442
1997-01-22,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.05,2.96,7.017371228749861
1997-01-23,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.96,2.62,7.010253616371183
1997-01-24,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.62,2.98,7.020865721465252
1997-01-27,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.98,3.05,7.014268402818091
1997-01-28,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,3.05,2.91,7.001000384766739
1997-01-29,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.91,2.86,7.013280817236396
1997-01-30,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.86,2.77,7.000004483387281
1997-01-31,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.77,2.49,7.018377812408644
1997-02-03,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.49,2.59,7.009094050285708
1997-02-04,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.59,2.65,7.007744685760119
1997-02-05,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.65,2.51,7.002784013951532
1997-02-06,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.51,2.39,7.021818722782311
1997-02-07,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.39,2.42,7.008048014574883
1997-02-10,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.42,2.34,7.0053100311739405
1997-02-11,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.34,2.42,7.0060719738906885
1997-02-12,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.42,2.22,7.014916401251105
1997-02-13,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.22,2.12,7.013247750039212
