test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma
1af8827edb,NBP,1,0,fedavg,fedavg,2,1,5,1,0.001,,0.06707698834508549,0.044938941388527096,1.9155317553892057,0.9212500526601818,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,2,5,1,0.001,,0.06664499893179626,0.04476211469193203,1.9097877967463441,0.9164766621378881,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,3,5,1,0.001,,0.065686575167717,0.044086511335000564,1.907275793218799,0.9105904355858562,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,4,5,1,0.001,,0.06596740819517045,0.04425243709058008,1.9096063045459242,0.9135788185566479,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,5,5,1,0.001,,0.06546500328841232,0.0438149605800989,1.9077176330035592,0.9083148010882484,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,6,5,1,0.001,,0.0653794067679234,0.043755159049394025,1.9089997088973856,0.908497273589708,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,7,5,1,0.001,,0.06546640802429332,0.04384200879361486,1.904937650669326,0.9067490847653815,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,8,5,1,0.001,,0.06549441514502187,0.04391174412519577,1.9102798294714058,0.910769336270049,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,9,5,1,0.001,,0.06538365757774424,0.043750580676169465,1.9085027203559195,0.908090851588766,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,10,5,1,0.001,,0.0656090549717262,0.04387926840557783,1.9098387490370068,0.910130863809084,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,11,5,1,0.001,,0.06559731741024388,0.04399351992245032,1.9137764809322138,0.9130968506154218,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,12,5,1,0.001,,0.06542387855643358,0.04375798460027179,1.9071869260190382,0.9072977690157886,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
1af8827edb,NBP,1,0,fedavg,fedavg,2,13,5,1,0.001,,0.06533595819662322,0.04370439229805352,1.9086736021162252,0.9078112552526569,0.06539887975592487,0.04374053781547937,1.9072717275561721,0.9072526423470012,1334,0.0,0,0.05
