date,price,hub
2020-11-02,5.165999889373779,NBP
2020-11-03,5.13700008392334,NBP
2020-11-04,5.171999931335449,NBP
2020-11-05,5.426000118255615,NBP
2020-11-06,5.256999969482422,NBP
2020-11-09,5.223999977111816,NBP
2020-11-10,5.23799991607666,NBP
2020-11-11,5.254000186920166,NBP
2020-11-12,5.210000038146973,NBP
2020-11-13,5.302000045776367,NBP
2020-11-16,5.429999828338623,NBP
2020-11-17,5.2230000495910645,NBP
2020-11-18,5.110000133514404,NBP
2020-11-19,4.873000144958496,NBP
2020-11-20,4.811999797821045,NBP
2020-11-23,5.048999786376953,NBP
2020-11-24,5.215000152587891,NBP
2020-11-25,5.2829999923706055,NBP
2020-11-27,5.639999866485596,NBP
2020-11-30,5.833000183105469,NBP
2020-12-01,5.783999919891357,NBP
2020-12-02,5.816999912261963,NBP
2020-12-03,5.565000057220459,NBP
2020-12-04,5.739999771118164,NBP
2020-12-07,5.611000061035156,NBP
2020-12-08,5.640999794006348,NBP
2020-12-09,5.675000190734863,NBP
2020-12-10,6.0,NBP
2020-12-11,6.130000114440918,NBP
2020-12-14,6.419000148773193,NBP
2020-12-15,6.640999794006348,NBP
2020-12-16,6.376999855041504,NBP
2020-12-17,6.210999965667725,NBP
2020-12-18,6.203000068664551,NBP
2020-12-21,6.544000148773193,NBP
2020-12-22,6.882999897003174,NBP
2020-12-23,6.889999866485596,NBP
2020-12-24,6.918000221252441,NBP
2020-12-28,6.867000102996826,NBP
2020-12-29,7.491000175476074,NBP
2020-12-30,7.605999946594238,NBP
2020-12-31,7.710000038146973,NBP
2021-01-04,8.074000358581543,NBP
2021-01-05,7.34600019454956,NBP
2021-01-06,7.176000118255615,NBP
2021-01-07,7.86899995803833,NBP
2021-01-08,8.25100040435791,NBP
2021-01-11,8.949000358581543,NBP
2021-01-12,10.54800033569336,NBP
2021-01-13,8.887999534606934,NBP
2021-01-14,8.640000343322754,NBP
2021-01-15,8.062000274658203,NBP
2021-01-19,7.868000030517578,NBP
2021-01-20,7.831999778747559,NBP
2021-01-21,7.765999794006348,NBP
2021-01-22,8.223999977111816,NBP
2021-01-25,7.73199987411499,NBP
2021-01-26,7.435999870300293,NBP
2021-01-27,7.413000106811523,NBP
2021-01-28,7.557000160217285,NBP
2021-01-29,7.300000190734863,NBP
2021-02-01,6.5920000076293945,NBP
2021-02-02,6.630000114440918,NBP
2021-02-03,6.447000026702881,NBP
2021-02-04,6.507999897003174,NBP
2021-02-05,6.613999843597412,NBP
2021-02-08,7.301000118255615,NBP
2021-02-09,6.861999988555908,NBP
2021-02-10,6.632999897003174,NBP
2021-02-11,6.140999794006348,NBP
2021-02-12,6.210999965667725,NBP
2021-02-16,5.919000148773193,NBP
2021-02-17,5.793000221252441,NBP
2021-02-18,6.14300012588501,NBP
2021-02-19,5.900000095367432,NBP
2021-02-22,5.625,NBP
2021-02-23,5.736999988555908,NBP
2021-02-24,5.807000160217285,NBP
2021-02-25,5.604000091552734,NBP
2021-02-26,5.563000202178955,NBP
2021-03-01,5.704999923706055,NBP
2021-03-02,5.6539998054504395,NBP
2021-03-03,5.425000190734863,NBP
2021-03-04,5.572999954223633,NBP
2021-03-05,5.702000141143799,NBP
2021-03-08,5.581999778747559,NBP
2021-03-09,5.945000171661377,NBP
2021-03-10,6.243000030517578,NBP
2021-03-11,6.507999897003174,NBP
2021-03-12,6.60099983215332,NBP
2021-03-15,6.290999889373779,NBP
2021-03-16,6.11899995803833,NBP
2021-03-17,6.269000053405762,NBP
2021-03-18,6.198999881744385,NBP
2021-03-19,5.9720001220703125,NBP
2021-03-22,6.328000068664551,NBP
2021-03-23,6.439000129699707,NBP
2021-03-24,6.511000156402588,NBP
2021-03-25,6.48199987411499,NBP
2021-03-26,6.677000045776367,NBP
2021-03-29,6.4730000495910645,NBP
2021-03-30,6.301000118255615,NBP
2021-03-31,6.458000183105469,NBP
2021-04-01,6.526000022888184,NBP
2021-04-05,6.559999942779541,NBP
2021-04-06,6.785999774932861,NBP
2021-04-07,6.61299991607666,NBP
2021-04-08,6.482999801635742,NBP
2021-04-09,6.434999942779541,NBP
2021-04-12,6.755000114440918,NBP
2021-04-13,6.672999858856201,NBP
2021-04-14,6.736000061035156,NBP
2021-04-15,6.951000213623047,NBP
2021-04-16,7.070000171661377,NBP
2021-04-19,7.339000225067139,NBP
2021-04-20,7.36899995803833,NBP
2021-04-21,7.357999801635742,NBP
2021-04-22,7.458000183105469,NBP
2021-04-23,7.019999980926514,NBP
2021-04-26,7.176000118255615,NBP
2021-04-27,7.625999927520752,NBP
2021-04-28,7.645999908447266,NBP
2021-04-29,8.157999992370605,NBP
2021-04-30,8.340999603271484,NBP
2021-05-03,8.390999794006348,NBP
2021-05-04,8.270999908447266,NBP
2021-05-05,8.583000183105469,NBP
2021-05-06,8.647000312805176,NBP
2021-05-07,8.559000015258789,NBP
2021-05-10,9.055999755859377,NBP
2021-05-11,9.282999992370604,NBP
2021-05-12,9.411999702453612,NBP
2021-05-13,9.39799976348877,NBP
