test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma,canary_n,canary_client,canary_rmse,canary_frac
TTF,,0,0,fedavg,fedavg,0,1,5,3,0.001,,0.2516869697863106,0.2025326683651656,7.807343613638955,6.187129142614745,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.1197049617767334,0.2
TTF,,0,0,fedavg,fedavg,0,2,5,3,0.001,,0.1997554152615884,0.15498480908335896,6.440527510745641,4.895279187399453,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.106759548187256,0.2
TTF,,0,0,fedavg,fedavg,0,3,5,3,0.001,,0.15052846317297952,0.11243348082890577,5.03323689219176,3.6772503040675395,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0931801795959473,0.2
TTF,,0,0,fedavg,fedavg,0,4,5,3,0.001,,0.10464156341598951,0.07670562518997338,3.594784489850859,2.5862093091475753,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.079589366912842,0.2
TTF,,0,0,fedavg,fedavg,0,5,5,3,0.001,,0.06908139695723654,0.04878287596067698,2.3774971946130736,1.6564185478081137,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0664401054382324,0.2
TTF,,0,0,fedavg,fedavg,0,6,5,3,0.001,,0.05216018833429635,0.03890132063593305,1.8207549638530827,1.3361292590640352,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0534722805023193,0.2
TTF,,0,0,fedavg,fedavg,0,7,5,3,0.001,,0.05066402582256363,0.03804410324072844,1.843105295763968,1.3377158514826981,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0451643466949463,0.2
TTF,,0,0,fedavg,fedavg,0,8,5,3,0.001,,0.04584569939846074,0.03433462727313735,1.6488200453680701,1.1978163314148527,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.035461902618408,0.2
TTF,,0,0,fedavg,fedavg,0,9,5,3,0.001,,0.04314913372503116,0.03208372678106525,1.548449493994723,1.11583325136516,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0190927982330322,0.2
TTF,,0,0,fedavg,fedavg,0,10,5,3,0.001,,0.040873183153046215,0.03001353920583408,1.4567367952608432,1.0392597841458802,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0222208499908447,0.2
TTF,,0,0,fedavg,fedavg,0,11,5,3,0.001,,0.04035614771637909,0.02987035506077395,1.4361035487337699,1.0345773584135503,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0020551681518555,0.2
TTF,,0,0,fedavg,fedavg,0,12,5,3,0.001,,0.03903341664719546,0.029004890251691628,1.373437601198131,0.9993381467067582,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0083539485931396,0.2
TTF,,0,0,fedavg,fedavg,0,13,5,3,0.001,,0.038082415794100634,0.028451628889296584,1.3299241512168625,0.9775666168978656,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,3.0037848949432373,0.2
TTF,,0,0,fedavg,fedavg,0,14,5,3,0.001,,0.04016548594182773,0.029783378308836244,1.4190969166486573,1.0288301466066954,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.9969489574432373,0.2
TTF,,0,0,fedavg,fedavg,0,15,5,3,0.001,,0.03930330970471353,0.02932995224028226,1.3789236980410682,1.0094717569452216,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.994138479232788,0.2
TTF,,0,0,fedavg,fedavg,0,16,5,3,0.001,,0.039696845908572656,0.02957271400274772,1.3978891483601983,1.0197760050690776,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.9906139373779297,0.2
TTF,,0,0,fedavg,fedavg,0,17,5,3,0.001,,0.03925553622868229,0.029357549210544676,1.3783862569034073,1.0108044278520645,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.987724542617798,0.2
TTF,,0,0,fedavg,fedavg,0,18,5,3,0.001,,0.04010979199622158,0.030140405198188214,1.4151904188476363,1.0392000406687536,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.9843556880950928,0.2
TTF,,0,0,fedavg,fedavg,0,19,5,3,0.001,,0.03908412555082435,0.02933680993540339,1.3696067301219916,1.0080192053802934,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.979161500930786,0.2
TTF,,0,0,fedavg,fedavg,0,20,5,3,0.001,,0.03986754931206355,0.029881749232102312,1.4051450383203357,1.029995563040345,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.979036331176758,0.2
TTF,,0,0,fedavg,fedavg,0,21,5,3,0.001,,0.0393344889336349,0.02956041732854289,1.3852959893687977,1.0183834757986707,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.9552106857299805,0.2
TTF,,0,0,fedavg,fedavg,0,22,5,3,0.001,,0.039670371379898706,0.029900555764285502,1.4007200444688677,1.031742303459321,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.9706549644470215,0.2
TTF,,0,0,fedavg,fedavg,0,23,5,3,0.001,,0.03904903715456785,0.029532699653350005,1.3716320522987133,1.0149416126538127,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.949069023132324,0.2
TTF,,0,0,fedavg,fedavg,0,24,5,3,0.001,,0.03948406536705226,0.029764597680048733,1.3918137842742477,1.025079703754287,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,59,0.0,0,0.0,11,FIN,2.968366861343384,0.2
