test_hub,algo,rmse_ret_mean,mae_ret_mean,rmse_price_implied_mean,baseline_rmse_ret_mean,baseline_mae_ret_mean,baseline_rmse_price_mean,baseline_mae_price_mean,delta_rmse_ret_mean,ratio_rmse_ret_mean,rmse_ret_std,mae_ret_std,rmse_price_implied_std,baseline_rmse_ret_std,baseline_mae_ret_std,baseline_rmse_price_std,baseline_mae_price_std,delta_rmse_ret_std,ratio_rmse_ret_std,n_seeds
FIN,zeno,0.11070689241832031,0.059269578345140024,7.0461813941738605,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,-0.0035809030632052014,0.9686676687732239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LTU,zeno,0.027342285010202198,0.020988952369752324,1.256407446995959,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.002278574283088669,0.9230753483372184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LVA-EST,zeno,0.02862902594047752,0.02242337053155944,1.3250277963412398,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,0.00037660509616210466,1.013330011549714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TTF,zeno,0.03525262231301837,0.026197762963543567,1.214798141485047,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.003258220667299451,1.1018372121278732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
