date,fills_sum,fills_mean,vol_sum,vol_mean,mid_mean,mid_std,spread_mean,spread_std,n_agents_total,n_agents_with_quotes,quote_coverage,price,y_next_day,fills_sum_lag1,fills_sum_lag2,fills_sum_lag3,fills_mean_lag1,fills_mean_lag2,fills_mean_lag3,vol_sum_lag1,vol_sum_lag2,vol_sum_lag3,vol_mean_lag1,vol_mean_lag2,vol_mean_lag3,quote_coverage_lag1,quote_coverage_lag2,quote_coverage_lag3,price_lag1,price_lag2,price_lag3,mid_mean_lag1,mid_mean_lag2,mid_mean_lag3,mid_std_lag1,mid_std_lag2,mid_std_lag3,spread_mean_lag1,spread_mean_lag2,spread_mean_lag3,spread_std_lag1,spread_std_lag2,spread_std_lag3
2025-12-29,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376154449,0.00014526748971193415,0.00010127406587104413,1114,243,0.21813285457809695,29.116,28.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.16,29.092,28.409,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376151155,0.0014332156376152478,0.0014332156376159722,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104413,0.00010127406587104409,0.0001012740658710441
2025-12-30,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376151265,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,28.642,27.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.116,29.16,29.092,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376154449,0.0014332156376151155,0.0014332156376152478,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104413,0.00010127406587104413,0.00010127406587104409
2025-12-31,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376160557,0.00014526748971193417,0.00010127406587104409,1114,243,0.21813285457809695,27.952,28.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.642,29.116,29.16,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376151265,0.0014332156376154449,0.0014332156376151155,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104413,0.00010127406587104413
2026-01-01,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376153102,0.00014526748971193415,0.00010127406587104407,1114,243,0.21813285457809695,28.131,28.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,27.952,28.642,29.116,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376160557,0.0014332156376151265,0.0014332156376154449,0.00014526748971193417,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104409,0.00010127406587104413
2026-01-02,0,0.0,0.0,0.0,9.998082304526749,0.001433215637614935,0.00014526748971193415,0.00010127406587104405,1114,243,0.21813285457809695,28.279,29.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.131,27.952,28.642,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376153102,0.0014332156376160557,0.0014332156376151265,0.00014526748971193415,0.00014526748971193417,0.00014526748971193415,0.00010127406587104407,0.00010127406587104409,0.00010127406587104409
2026-01-03,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376157031,0.00014526748971193415,0.00010127406587104406,1114,243,0.21813285457809695,29.039,29.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.279,28.131,27.952,9.998082304526749,9.998082304526749,9.998082304526749,0.001433215637614935,0.0014332156376153102,0.0014332156376160557,0.00014526748971193415,0.00014526748971193415,0.00014526748971193417,0.00010127406587104405,0.00010127406587104407,0.00010127406587104409
2026-01-04,0,0.0,0.0,0.0,9.998082304526749,0.001433215637614553,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,29.094,29.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.039,28.279,28.131,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376157031,0.001433215637614935,0.0014332156376153102,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104406,0.00010127406587104405,0.00010127406587104407
2026-01-05,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376152905,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,29.557,28.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.094,29.039,28.279,9.998082304526749,9.998082304526749,9.998082304526749,0.001433215637614553,0.0014332156376157031,0.001433215637614935,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104406,0.00010127406587104405
2026-01-06,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376155591,0.00014526748971193415,0.00010127406587104405,1114,243,0.21813285457809695,28.267,28.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.557,29.094,29.039,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376152905,0.001433215637614553,0.0014332156376157031,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104411,0.00010127406587104406
2026-01-07,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376146324,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,28.751,29.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.267,29.557,29.094,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376155591,0.0014332156376152905,0.001433215637614553,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104405,0.00010127406587104409,0.00010127406587104411
